BOOK,PAGE,TALENT,Desc.,TIER,PREREQUISITE,ACT,FP?,MtR?,BENEFIT,CLASS,TREE,ALL
F,42,Signature Item,"You are famous for using certain items, and you have become skilled at wielding them. You select a single weapon, suit of armor, vehicle, starship, or other item. While wielding that weapon, wearing that armor, piloting that vehicle, or otherwise using that item, you gain a +2 morale bonus on opposed skill checks. You can select this talent multiple times. Each time you do so, you choose a new object to be your signature item. The effects of multiple signature items are cumulative with one another, increasing this morale bonus by 1 each time.",1,,,,,"with certain item +2 opposed skill checks, multiple items cumulative +1",Bounty Hunter,Bounty Hunter,Bounty Hunter
UR,21,Silent Movement,"You know how to move silently in almost any environment. You never suffer from unfavorable circumstances from environmental effects associated with noise when you sneak using the Stealth skill. Once per round, when you make a Stealth check, you can automatically use the aid another action on one ally’s Stealth check. [[This aid another seems to cost no actions or a free action rather than the normal standard action]]",1,Trained in Stealth,,,,"never suffer from unfavorable circumstances from environment w/Stealth, 1/rnd w/Stealth auto aid another 1 ally",Scout,Hyperspace Explorer,Scout
F,49,Silent Takedown,"You are skilled at quietly knocking out or eliminating guards and others when they are caught unaware. If you damage an opponent that is unaware of you, that opponent cannot speak or make other noises until the end of your next turn. This is a stunning effect. ",1,Stealth skill,,,,"if unaware target damaged, opp cannot speak or make other noises until end of your next turn",Infiltrator,Infiltration,Infiltrator
J,79,Silicon Mind,Other Force-users have a difficult time knowing how to influence you. You can spend a Force Point as a reaction to gain a bonus to your Will Defense equal to your Charisma modifier (minimum +1) against all Use the Force checks until the end of your next turn.,1,,reac,x,,gain bonus to Will Def = Cha mod (min 1) against Use the Force until end of your next turn,Force-Using Traditions,Iron Knight,"Force Disciple, Jedi Master, Sith Lord"
UR,23,Simple Opportunity,You can make attacks of opportunity when using a ranged or thrown simple weapon against a single target. Area attack weapons cannot be used with this talent. ,1,WP (simple weapons),,,,can make Atk of Opp when using ranged or thrown simple weapon (no area atk weapons),Soldier,Warrior,Soldier
J,89,Simultaneous Strike,"As a standard action, you can make two unarmed attacks, each against different targets. ",1,BAB +5,stan,,,make two unarmed attacks each against different targets,Force-Using Traditions,Warden of the Sky,"Force Disciple, Jedi Master, Sith Lord"
K,47,Single Weapon Flourish I,"When you wield only a single light melee weapon or a single lightsaber and make a full attack, you can move up to your speed as a free action at any time during your turn. ",1,"Double Attack, Weapon Finesse",,,,with 1 light melee or lightsaber you can move your speed as a free action,Melee Duelist,Melee Duelist,Melee Duelist
K,47,Single Weapon Flourish II,"When you wield only a single light melee weapon or a single lightsaber, once per turn on your turn, you can make a full attack as a standard action instead of a full-round action. ",3,"Double Attack, Master of Elegance, Single Weapon Flourish I, Weapon Finesse",,,,"with 1 light melee or lightsaber make full atk as stan, 1 per turn",Melee Duelist,Melee Duelist,Melee Duelist
K,41,Sith Alchemy,"Your knowledge of Sith sorcery allows you to imbue talismans and other objects with the power of the dark side. •Create Sith Talisman: You can spend one Force Point to imbue a portable object with the dark side, creating a Sith talisman that provides offensive strength to a Force power or lightsaber attack. Creating the talisman takes a full-round action. While you wear or carry the talisman on your person, add 1d6 to your damage with Force powers. You gain a Dark Side point when you first put on or carry a Sith talisman. You can have only one Sith talisman active at any given time, and if it is destroyed, you cannot create another one for 24 hours. •Create Sith Weapon: You can alchemically treat a properly prepared weapon to become a Sith weapon. You may spend a Force Point to imbue the weapon with the properties of the Sith alchemical weapon template (this process takes one hour to complete). See KOTOR Chapter 5 Equipment and Droids for information on Sith alchemical weapons. ",3,Dark Side Adept & Master,full,x,,"Create Sith Talisman = +d6 dam with Force powers or lightsaber, gain Dark Side point with first use
Create Sith Weapon - imbue weapon with Sith alchemical weapon template (K79)",Sith Apprentice,Sith,Sith Apprentice
J,21,Sith Alchemy,"Your knowledge of Sith alchemy allows you to imbue certain objects with the power of the dark side. You can perform any of the following alchemical transformations, though each time you do so, increase your Dark Side Score by 1.",1,,,,,"Create Sith Amulet, Sith Armor, Sith Talisman, or Sith Weapon, see J21-22",Sith Apprentice,Sith Alchemy,Sith Apprentice
J,22,Sith Alchemy Specialist,"You can modify an object with Sith alchemy so that it gains a specific trait. Specific traits are listed on Table 1-1. You can only perform one modification at a time. Unless otherwise noted, you cannot grant more than one benefit to a single object, and you cannot apply the same benefit more than once. You must spend a Force Point and devote 1 hour of uninterrupted work to apply a trait to the relevant object, and when you do so, you increase your Dark Side Score by 1. ",2,Sith Alchemy,,x,,"modify an item to gain Sith Alchemy traits, see J22",Sith Apprentice,Sith Alchemy,Sith Apprentice
C,56,Sith Reverence,You gain a +1 morale bonus on your attack rolls while you are within 20 squares and in line of sight of an ally with a Dark Side Score equal to or greater than your own.,1,,,,,+1 atk while within 20 sq & LOS of an ally with Dark Side score equal or greater than yours ,Force-Using Traditions,Believer Disciple,"Force Disciple, Jedi Master, Sith Lord"
F,50,Six Questions,"You have mastered the basic Bothan philosophy of Six Questions to glean more information from contacts through fewer questions. As a swift action, you can make a Knowledge (galactic lore) check against a DC equal to 15 + the target's CL. If the check is successful, you learn a target character's level, classes, and ability scores, and the target's available Force Points and Destiny Points. ",2,Spynet Agent,,,,"Knowledge (galactic lore) DC15+CL for target's level, classes, abilities & Force & Destiny points",Infiltrator,Bothan Spynet,Infiltrator
GI,23,Sizing Up,"Once per encounter, you can make a Perception check against the Will Defense of a single target that is within 6 squares of you and within your line of sight. If you succeed, you gain a +2 insight bonus to all skill checks and attack rolls against the target until the end of the encounter.",1,,,,,1/enc Perception vs Will of target within 6 sq & LOS for +2 bonus to skill & attacks for enc,Scout,Espionage,Scout
GI,21,Skill Boon,"When you select this talent, choose one skill. Whenever you spend a Force Point to add to that skill, increase the die type of your Force Point by one step (i.e. from d6 to d8, d8 to dl0, or d10 to d12), to a maximum of d12. You can select this talent multiple times. Each time you do so, you must choose a different skill to gain the benefits of this talent. ",1,Trained in skill,,,,"increase FP dice to next higher on 1 skill (d6 to d8, d8 to d10, d10 to d12)",Noble,Superior Skills,Noble
GI,21,Skill Confidence,"When you select this talent, choose one skill. Whenever you roll a natural 19 or a natural 20 on a skill check with that skill, you gain the benefits of the Critical Skill Success talent and also gain bonus hit points equal to your Charisma modifier. You can select this talent multiple times. Each time you do so, you must choose a different skill to gain the benefits of this talent. ",2,Critical Skill Success*,,,,nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod,Noble,Superior Skills,Noble
F,48,Skill Conversion,"When you reprogram yourself, you can sacrifice a single trained skill for a bonus Skill Focus feat. You must meet the prerequisites for the feat (you must be trained in the skill you choose to gain Skill Focus for), and you can do this only once per reprogramming.",1,,,,,"with reprogram, sacrifice one trained skill for +1 skill focus, once per reprogram",Independent Droid,Specialized Droid,Specialized Droid
CR,40,Skilled Advisor,"You can spend a full-round action advising an ally, thereby granting her a +5 bonus on her next skill check. If you spend a Force Point, the bonus increases to +10. The target must be able (and willing) to hear and understand your advice. You cannot advise yourself. This is a mind-affecting effect.",1,,full,*,,"ally gets +5 on skill check, Force Point = +10",Jedi,Jedi Consular,Jedi
F,57,Skilled Demolitionist,"You can set a detonator as a swift action, and your explosives never go off as the detonator is being placed, even if you fail the check by 10 or more. You must still roll to determine if the charge otherwise goes off as planned (see ""Mechanics,"" page 69 of the Saga Edition core rulebook).",1,,,,,set detonator as swif & does not go off if fail roll by 10 or more,Saboteur,Sabotage,Saboteur
L,47,Skilled Implanter,"Whenever you use the Biotech Surgery feat to install an implant, the implant’s attack bonus against the recipient’s Fortitude Defense is halved (see page 67 for more information on implants). ",1,Biotech Surgery feat,,,,when installing an implant the attack bonus is halved,Shaper,Shaper,Shaper
GI,21,Skillful Recovery,"When you select this talent, choose one skill. Whenever you fail a skill check with that skill, you gain one temporary Force Point. That Force Point can only be spent to add to a skill check with the skill you chose for this talent. If the Force Point is not spent by the end of the encounter, it is lost. For the purposes of this talent, failing a skill check means failing to get the minimum possible result from the skill check. You can select this talent multiple times. Each time you do so, you must choose a different skill to gain the benefits of this talent. ",1,Trained in skill,,,,"When failing to get min result of check of 1 skill, gain FP only usable on that skill before end of enc",Noble,Superior Skills,Noble
CR,46,Skirmisher,"If you move at least 2 squares before you attack and end your move in a different square from where you started, you gain a +1 bonus on attack rolls until the start of your next turn. (SotG) You gain the benefits of this talent with vehicle weapons only if you are the vehicle's pilot. Unleashed: When you gain the benefit of the Skirmisher talent on a melee or ranged attack, you can spend a Destiny Point to get an automatic critical hit on your attack and gain a bonus to your base damage equal to the number of squares you moved.",1,,,,,"if move 2 squares, +1 Atk until next turn",Scoundrel,Misfortune,"Assassin, Bounty Hunter, Saboteur, Scoundrel"
K,39,Slashing Charge,"Once per encounter, while making a charge, you take no cumulative penalty to Use the Force checks for each Block attempt you make during the charge. When performing slashing charge, you can apply the attack bonus granted by the charge to all Riposte attacks as well. You can declare the use of this ability after you begin the charge but before you make your first Riposte attack. ",3,"Block, Riposte, WF & WP (lightsabers)",,,,"1/enc with charge take no penalty on UtF for Block during the charge, applies to Riposte",Jedi Knight,Jedi Battlemaster,Jedi Knight
C,24,Slip By,"When you would normally provoke an attack of opportunity by moving out of a threatened space, you can roll a Stealth check, replacing your Reflex Defense with the results of your Stealth check if it is higher.",1,,,,,"when you dam opponent you can move through that opponent's square, Atk of Opp as normal",Scoundrel,Opportunist,Scoundrel
GW,20,Slip By,"When you damage a target, until the beginning of your next turn, you can move through that target's space. Moving through the target's space might still provoke attacks of opportunity as normal, and you must end your movement in a legal space.",1,,,,,"if you'd provoke an Atk of Opp by moving, can make Stealth check to replace Ref Def if higher",Scout,Camouflage,"Elite Trooper, Infiltrator, Scout"
K,27,Slippery Strike,"Once per encounter, you can designate an opponent you have just damaged as a reaction; that opponent cannot make attacks of opportunity against you until the end of your next turn. You may use this in conjunction with the Strike and Run talent, allowing you to benefit from both talents as a single reaction. ",2,Strike and Run,reac,,,once per encounter designate an opp you just damaged cannot make attacks of opp until next turn,Scoundrel,Run and Gun,Scoundrel
UR,31,Slowing Shot,"If you successfully use Debilitating Shot, until the target moves to the normal state on the condition track or until the end of the encounter, the target’s speed is reduced by 2 squares, and it loses its Dexterity bonus to its Reflex Defense and is considered flat-footed. These effects occur in addition to the effect of Debilitating Shot. If you spend a Force Point, the target’s speed is reduced by 4 squares or half of its normal speed, whichever is the greater reduction. ",2,Debilitating Shot,,*,,"target's spd -2 until move to normal on CT or until end of enc & loses Dex to Def & flat-footed, spend FP for -4sq or half whichever is greater",Gunslinger,Gunslinger,Gunslinger
F,45,Slowing Stun,"When you move a target at least -1 step along the condition track with an attack, its speed is halved until all conditions are removed.",1,,,,,when you move target -1 CT their speed halved until removed,Enforcer,Enforcement,Enforcer
GW,19,Sly Combatant,"You quickly move about the battlefield, taking advantage of the chaos of battle to gain advantage. You can use each of the following actions once per encounter as a standard action: • Distracting Injury: Make a single melee or ranged attack against any enemy within your range. If the attack successfully hits, that enemy takes a -2 penalty to his or her attack rolls and damage rolls until the end of the encounter. • Make Them Bleed: Make a single melee or ranged attack against any living creature within your range. If you successfully deal damage as a result of the attack, that enemy gains a persistent condition that can be removed only with a successful DC 25 Treat Injury check to perform surgery. • Strength in Numbers: Make a single melee or ranged attack against an enemy who is adjacent to one or more of your allies. If you successfully hit that enemy, you gain a +2 bonus to damage for each ally that is adjacent to the target. ",3,"Cheap Trick, Easy Prey",stan,,,each 1/enc make ranged or melee atk for 1. if hits enemy -2 atk & dam until end of enc or 2. if deal dam enemy gains persistent condition removed with DC25 Treat Injury/surgery or 3. atk v. adjacent to you or ally +2 dam per adjacent ally,Scoundrel,Brigand,Scoundrel
UR,29,Small Favor,"You can call in a small favor from someone who owes you. Once per day, make a DC 25 Persuasion check. If the check is successful, an informant gives you information, granting you a +10 competence bonus to one Gather Information or Knowledge check made within the next 24 hours. ",2,"Notorious, trained in Persuasion",,,,1/day DC25 Persuasion for informant info for +10 1 Gather Info or Knowledge w/in next 24 hours,Crime Lord,Infamy,"Crime Lord, Master Privateer"
SV,25,Small Target,"When you are the pilot of a Colossal or smaller vehicle, capital ship weapons that take a -20 penalty on attack rolls against your vehicle (such as turbolasers) do not automatically score a critical hit on your vehicle on a natural 20. The attack is only a critical hit of the total attack roll (20 + the weapon's attack bonus) would normally hit your vehicle. Otherwise, the attack deals normal damage.",1,,,,,"if you pilot a colossal or smaller vehicle, capital ships with -20 Atk  = no crits unless you'd be hit normally (20 + weapon's atk bonus)",Ace Pilot,Blockade Runner,Ace Pilot
L,41,Snap Shot,You do not provoke attacks of opportunity while using the aim action with a rifle or carbine with its stock extended.,1,,,,,do not provoke attacks of opportunity when using aim with stock extended,Gunslinger,Carbineer,Gunslinger
CR,46,Sneak Attack,"Any time your opponent is flat-footed or otherwise denied its Dexterity bonus to Reflex Defense, you deal an extra 1d6 points of damage with a successful melee or ranged attack. You must be within 6 squares of the target to make a sneak attack with a ranged weapon. You may select this talent multiple times. Each time you select it, your sneak attack damage increases by + 1d6 (maximum +10d6). [[Weak talent option: the first time you take this talent, you deal 2d6 instead of 1d6 dmg, or increase to 1d8.]] Unleashed: When you make an attack that deals extra damage thanks to the Sneak Attack talent, you can spend a Destiny Point to gain a +5 bonus on your melee or ranged attack roll and deal an extra 5d6 points of damage with a successful hit. You must be within 6 squares of the target to make a sneak attack with a ranged weapon. This extra damage stacks with any damage bonus provided by the Sneak Attack talent.",1,,,,,"if opp flat-footed or no Dex to Def, deal +d6 dam, must be w/in 6 squares, max 10d6",Scoundrel,Misfortune,"Assassin, Bounty Hunter, Saboteur, Scoundrel"
SV,29,Sniping Assassin,"When you make a ranged attack against a target that is not at point blank range, you add half your class level to your damage roll.",1,,,,,ranged attack not at point blank range add half class level to damage,Assassin,Assassin,Assassin
SV,29,Sniping Marksman,"Once per encounter, when you make a ranged attack against a target that is not at point blank range, you can ignore your target's armor bonus to Reflex Defense. ",2,Sniping Assassin,,,,1/encounter ranged attack not at point blank range ignore target's armor bonus to Ref Def,Assassin,Assassin,Assassin
SV,29,Sniping Master,"By taking only a single swift action, you can aim at a target that is not within point blank range. [[If you are using a bipod, you can aim as a free action if you have already aimed at or attacked a particular target. Then, each subsequent aim action is a free action against that target only]] ",3,Sniping Marksman*,,,,aim with 1 swif at a target not in point blank range,Assassin,Assassin,Assassin
F,47,Soft Reset,"You are adept at rerouting your internal electronics. If you are moved to the bottom of the condition track by any means other than taking damage exceeding your damage threshold, you automatically move +1 step along the condition track after being disabled for 2 rounds.",1,,,,,after 2 rounds of being disabled move +1 CT,Independent Droid,Autonomy,Independent Droid
J,81,Soft to Solid,"As a reaction when you are damaged by an attack, you can spend a Force Point to increase the rigidity of your skin, gaining DR 10 until the end of your next turn.",1,,reac,x,,when damaged gain DR 10 until end of your next turn,Force-Using Traditions,Matukai Adept,"Force Disciple, Jedi Master, Sith Lord"
C,47,Soften the Target,"Whenever you damage a target with a ranged attack, you may designate one ally within your line of sight as a swift action. The ally you designate ignores the target's damage reduction and SR (if any) until the start of your next turn.",1,,swif,,,"when you damage target with ranged atk, 1 ally in LOS ignores target's DR & SR",Vanguard,Vanguard,Vanguard
CR,219,Sokan,"You may take 10 on Acrobatics checks to tumble even when distracted or threatened. Additionally, each threatened or occupied square that you tumble through only counts as 1 square of movement. ",2,Acrobatic Recovery,,,,"take 10 on Acrobatics check to tumble even when distracted, each occupied square counts as 1",Jedi Knight,Lightsaber Forms,Jedi Knight
C,41,Soothe,"When using vital transfer to heal somebody, you can move the target +1 step on the condition track instead of healing damage. When doing so. you move -1 step on the condition track in exchange. ",1,Vital transfer,,,,"use vital transfer to move target +1 CT not heal, you move -1 CT",Jedi Knight,Jedi Healer,Jedi Knight
J,18,Soothing Presence,"Whenever you encounter a beast with an unfriendly attitude toward you, you automatically shift its attitude to indifferent (no skill check required). ",2,Charm Beast,,,,shift unfriendly beast to indifferent automatically,Force Adept,Beastwarden,Force Adept
CR,219,Soresu,You may reroll a failed Use the Force check when using the Block or Deflect talents. ,3,"Block, Deflect",,,,reroll Use the Force for Block or Deflect,Jedi Knight,Lightsaber Forms,Jedi Knight
SV,15,Sow Confusion,"Once per encounter, as a standard action, you can make a Deception check and compare the result to the Will Defense of all enemies in your line of sight. If the check result equals or exceeds an enemy's Will Defense, that enemy must spend a swift action in addition to a standard action to make an attack until the start of your next turn. ",2,Hesitate,stan,,,1/encounter Deception v. Will Def in LOS target must spend swif w/ stan to attack until your next turn,Scoundrel,Misfortune,"Assassin, Bounty Hunter, Saboteur, Scoundrel"
CR,47,Spacehound,"You take no penalty on attack rolls in low-gravity or zero-gravity environments, and you ignore the debilitating effects of space sickness (see Zero-Gravity Environments, CR page 257). In addition, you are considered proficient with any starship weapon [[all of which are heavy weapons]].",1,,,,,"no Atk penalty in low or zero-gravity, ignore space sickness, proficient w/starship weapons",Scoundrel,Spacer,"Ace Pilot, Master Privateer, Scoundrel"
J,73,Spatial Integrity,"While you are aboard a vehicle, you can spend a Force Point as a reaction to the vehicle taking damage; you make a Use the Force check and reduce the damage the vehicle takes by the check result. This reduction occurs after both DR and SR are applied to the damage.",1,,reac,x,,"Use the Force negates damage to vehicle you are aboard, occurs after DR & SR applied",Force-Using Traditions,Aing-Tii Monk,"Force Disciple, Jedi Master, Sith Lord"
L,47,Speed Implant,"Once per encounter as a standard action, you can give one adjacent living creature a speed implant. The target must be willing to receive this implant, which increases the target’s base speed by 2 until the end of the encounter.",1,,stan,,,"1/encounter adjacent ally gains +2 spd
at end of encounter target moves -3 CT & needs rest or surgery",Shaper,Implant,Shaper
UR,22,Speedclimber,You do not take the penalty when using the Accelerated Climbing application of the Climb skill. ,3,"Long Stride, Surefooted, Trained in Climb",,,,no penalty when using Accelerated Climbing of Climb,Scout,Master Scout,Scout
CR,44,Spontaneous Skill,"Sometimes you surprise others with your skill. Once per day, you may make an untrained skill check as though you were trained in the skill. Exception: You cannot use this talent to make an untrained Use the Force check as though you were trained in the skill unless you have the Force Sensitivity feat (page 85). You can select this talent multiple times; each time you do, you can use it one additional time per day. ",2,Educated,,,,"once a day, make skill check trained, multiple per day",Noble,Lineage,"Corporate Agent, Noble"
C,25,Spotter,"As a move action, you can make a Perception check with a DC equal to 10 + the CL of a single target enemy in your line of sight. If you succeed on the check, you and all your allies that can hear and understand you gain a +1 insight bonus on attack rolls against that target until the end of your next turn.",1,,move,,,Perception v. DC 10+CL of target in LOS to gain for you and allies +1 Atk v. target,Scout,Surveillance,Scout
R,28,Spring the Trap,"If you and all your allies roll higher Initiative checks to start combat than do all your opponents, you automatically gain a surprise round, even if the opponents are aware of you when combat begins.",1,,,,,"if you & all allies roll higher Initiative than opponents, gain a surprise round even if aware",Soldier,Ambusher,Soldier
CR,50,Sprint,"When you use the run action, you can move up to five times your speed (instead of the normal four times your speed).",1,,,,,run up to five time speed,Scout,Survivor,"Enforcer, Medic, Outlaw, Pathfinder, Scout, Vanguard"
F,50,Spynet Agent,"You can use your Gather Information check modifier instead of your Knowledge (galactic lore) check modifier when making Knowledge (galactic lore) checks. You are considered trained in the Knowledge (galactic lore) skill for the purpose of using this talent. If you are entitled to a Knowledge (galactic lore) reroll, you can reroll your Gather Information check instead (subject to the same circumstances and limitations). ",3,"Bothan, or 2 talents from Infiltration",,,,"Gather Info replaces Knowledge (galactic lore), considered trained",Infiltrator,Bothan Spynet,Infiltrator
C,26,Squad Actions,"You and your squad have an established set of tactics, practiced to perfection. You can use any of the following actions on your turn. •Autofire Barrage: Make a single autofire attack as a standard action against legal target spaces. For each follower armed with a ranged weapon set to autofire that has line of sight to the targeted area, you can designate one additional adjacent square as being targeted by your autofire attack. •Open Fire: Make a single attack as a standard action against a target within reach. For each follower armed with a ranged weapon that has line of sight to that target, add +2 to your damage roll on a successful hit. •Painted Target: Make a single attack as a standard action against a target within reach. You gain a competence bonus on your attack roll equal to the number of followers armed with ranged weapons that have line of sight to that target. ",2,Commanding Officer,stan,,,"if you atk: extend autofire by 1 sq, +2 dam, or + atk per follower if armed with ranged weapon",Soldier,Squad Leader,Elite Trooper
L,31,Squad Brutality,"When you succeed on a melee attack against a target that has one or more of your allies adjacent to it, you may reroll your damage roll, taking the better result.",1,,,,,with melee atk against target with your allies adjacent reroll damage & keep best,Soldier,Brute Squad,Soldier
L,31,Squad Superiority,"Whenever you and at least two allies are adjacent to the same target, that target is considered flat-footed against you.",1,,,,,"with you & two allies adjacent to target, target is flat-footed",Soldier,Brute Squad,Soldier
S,18,Squadron Maneuvers,"Choose one talent that you already possess. The talent you select must be from the Expert Pilot or Gunner talent trees. Once per encounter as a standard action, you can impart the benefits of the chosen talent to all members of your squadron. Once gained, its benefits last until the end of the encounter. ",2,"Cha 13, any other Ace talent",stan,,,"once per encounter, grant benefits of a talent to every ship in your squadron until end of enc.",Ace Pilot,Squadron Leader,Ace Pilot
S,18,Squadron Tactics,"Once per encounter, when you use a starship maneuver, you grant all ships in your squadron the ability to use the same maneuver once on their next turn. The pilot of each ship that chooses to use the maneuver must make any Pilot checks or attack rolls the maneuver requires—your success or failure with the maneuver has no bearing on the success of other units of your squadron. The ace pilot’s Squadron Tactics talent can be used only to confer non-attack pattern maneuvers on your squadron. ",2,"Wis 13, Starship Tact, Squadron Maneuvers*",,,,"once per encounter, grant a maneuver you use to every ship in your squadron next round",Ace Pilot,Squadron Leader,Ace Pilot
L,42,Stalwart Subordinates,"When any ally within 12 squares of you and in your line of sight is targeted by a skill check against its Will Defense, the source of that skill check (whether a hazard, a creature, a droid, or whatever) must roll the skill check twice and take the lowest result.",1,,,,,an ally w/in 12 sq & LOS & Will Def targeted forces enemy to reroll & take lowest,Officer,Fugitive Commander,Officer
CR,47,Starship Raider,You gain a +1 bonus on attack rolls while aboard a starship. This bonus applies to attacks made with starship weapons as well as personal weapons used aboard a starship. ,2,Spacehound,,,,+1 Atk aboard starship including personal weapons,Scoundrel,Spacer,"Ace Pilot, Master Privateer, Scoundrel"
GW,33,Stava Expertise,"When you successfully grab an enemy, he or she must make an opposed grapple check to break free of your grab. If you are initiating a grapple, you can reroll your grapple check. However, you must accept the second result, even if it is worse. You can use this talent only while wearing light armor or no armor.",1,,,,y,"when you grab an enemy they must make opposed grapple to break, if you initiate you can reroll, if you're in light or no armor",Martial Arts Master,Martial Arts Forms,Martial Arts Master
L,42,Stay in the Fight,"As a swift action, you remove one mind-affecting or fear effect currently affecting an ally within 12 squares of you and in your line of sight. When you do so, you also grant the target a number of bonus hit points equal to 10 + your class level. ",2,Stalwart Subordinates,swif,,,remove 1 mind-affecting or fear effect of ally w/in 12 sq & LOS & grant target hp = 10 + class level,Officer,Fugitive Commander,Officer
R,41,Stay in the Fight,"If you successfully use Recruit Enemy on a target and that target can catch a second wind, the target can do so immediately as a reaction. ",2,Recruit Enemy,,,,recruited enemy can immediately use second wind as a reac,Officer,Rebel Recruiter,Officer
F,54,Steady Under Pressure,"You can choose to reroll any Treat Injury check, using the better result.",1,,,,n,reroll Treat Injury,Medic,Advanced Medicine,"Medic, Shaper"
L,42,Stealthy Withdrawal,"When an ally withdraws as a result of your Hasty Withdrawal talent and ends its withdraw action with cover or concealment from any enemy target, that ally can make an immediate Stealth check to sneak as a free action. ",2,Hasty Withdrawal,,,,an ally of Hasty Withdrawal that ends in cover may make a Stealth check to sneak as free ,Officer,Fugitive Commander,Officer
L,40,Steel Mind,"If you resist the effects of a mind-affecting Force power, the user of that power cannot attempt to use the same power against you for the rest of the encounter.",1,,,,,if you resist a mind-affecting Force power the user cannot use the same power against you again,Bounty Hunter,Force Hunter,Bounty Hunter
F,24,Steel Resolve,"When you use a standard action to make a melee attack, you can take a penalty of -1 to -5 on your attack roll and add twice that value (+2 to +10) as an insight bonus to your Will Defense. This bonus may not exceed your base attack bonus. The changes to attack rolls and Will Defense last until the start of your next turn.",1,,,,,"melee atk, penalty -1 to -5 for double the number to Will Def, may not exceed BAB",Jedi,Jedi Sentinel,Jedi
CR,47,Stellar Warrior,"Whenever you roll a natural 20 on an attack roll made aboard a starship, you gain one temporary Force Point. If the Force Point is not used before the end of the encounter, it is lost. (SotG) This talent works with both vehicle weapons and personal weapons used aboard a starship. ",2,Spacehound,,,,natural 20 on Atk roll = one extra Force Point for encounter,Scoundrel,Spacer,"Ace Pilot, Master Privateer, Scoundrel"
C,26,Stick Together,"You can spend a move action to activate this talent. Until the beginning of your next turn, if an ally moves you can immediately move up to your speed, provided you end your movement within 3 squares of that ally. ",2,Comrades in Arms,move,,,if an ally moves you can move before your next turn if you end within 3 sq of that ally,Soldier,Trooper,Soldier
J,87,Stifle Conflict,You can choose to have any Force power you activate deal stun damage instead of normal damage.,1,,,,,your force powers can deal stun dam,Force-Using Traditions,Tyia Adept,"Force Disciple, Jedi Master, Sith Lord"
SV,18,Stinging Assault,"You can deliver nasty injuries that leave your opponents reeling. Whenever you successfully damage an opponent using a slashing weapon that you have the Weapon Specialization talent for, your opponent takes a -2 penalty on melee attacks against you until the start of your next turn. The effects of multiple Stinging Assaults do not stack. ",2,Weapon Specialization,,,,"if damage opp with slashing Atk, opp -2 melee Atk until your next turn",Soldier,Weapon Specialist,"Soldier, Weapon Specialist"
GW,21,Stinging Jab,"When you hit a target with an unarmed attack, you can choose to deal half damage with your attack. If you do so, your enemy also deals half damage on all melee attacks he or she makes until the end of your next turn.",1,,,,,if you hit with unarmed atk you can deal half dam & enemy deals half dam on melee atk until next turn,Soldier,Shockboxer,Soldier
L,28,Stolen Advantage,"Whenever an enemy within your line of sight uses the aid another action to grant one of its allies a bonus, you can (as a reaction) designate one ally within your line of sight. The enemy automatically fails to aid its ally, and the ally you designate gains a +2 bonus on its next attack roll made before the end of your next turn. ",2,Cast Suspicion,reac,,,"when enemy in LOS aids another, you give +2 atk to 1 ally in LOS & enemy does not benefit",Noble,Provocateur,"Charlatan, Noble"
T,81,Stolen Form,"You have learned how to use a Jedi fighting technique to defeat Jedi in combat. Choose one talent from the Lightsaber Forms talent tree; you gain the benefit of this talent and are considered to have this talent for the purpose of satisfying prerequisites. You must meet all the prerequisites as normal for the chosen lightsaber form talent, in addition to the prerequisites of this talent. You can select this talent multiple times. Each time you select it, choose a different lightsaber form. ",1,"Any force technique, WF lightsabers",,,,choose a lightsaber form,Sith Apprentice,Sith,Sith Apprentice
L,47,Strength Implant,"Once per encounter as a standard action, you can give one adjacent living creature a strength implant. The target must be willing to receive this implant, which allows the target to deal +1 die of damage whenever it hits with a melee attack until the end of the encounter.",1,,stan,,,"1/encounter adjacent ally gains +1 die dam
 at end of encounter target moves -3 CT & needs rest or surgery",Shaper,Implant,Shaper
C,40,Strength in Numbers,"If you are within 10 squares of an ally, you can add +2 to your DR.",1,,,,,if within 10 sq of an ally +2 DR,Elite Trooper,Republic Commando,Elite Trooper
L,45,Strength of the Empire,"When an ally within 12 squares of you and in your line of sight hits with a lightsaber attack, you deal +1 die of damage with the next lightsaber attack you make before the end of your next turn. ",2,Knight's Morale,,,,when ally w/in 12 sq hits with lightsaber you deal +1 die dam with next lightsaber atk ,Imperial Knight,Knight's Resolve,Imperial Knight
K,28,Strike and Run,"Once per encounter, as a reaction after successfully damaging an opponent with a melee or ranged attack, you can move your speed.",1,,reac,,,once per encounter after you dam opp you can move your speed,Scoundrel,Run and Gun,Scoundrel
L,31,Strong Grab,"When you successfully grab an opponent, they must use a full-round action instead of a standard action to break the grab.",1,,,,,when you grab an opponent they must use a full to break the grab not a stan,Soldier,Brawler,Soldier
L,40,Strong-Willed,You are trained to resist Jedi mind tricks. You add your class level to Will Defense against Use the Force checks.,1,,,,,add your class level to Will Def v. Use the Force,Bounty Hunter,Force Hunter,Bounty Hunter
F,57,Stun Turret,You can construct a nonlethal turret. The turret deals stun damage instead of normal damage. ,2,Blaster Turret I,stan,,,"1/encounter, Tiny Init +4 Percep +4 Ref Def 10 10hp thresh 8 turret, 3d6 stun, you must be adjacent",Saboteur,Turret,Saboteur
