BOOK,PAGE,FORCE POWER,Desc.,"Action to activate","Action to maintain",Target,Sq.,LOS,EFFECT,   Dark/Light,   Lightsaber form   ,  Mind-affect.,  Telekinetic,  Unleashed
CR,100,"Sever Force 
[light side]","You can block another Force-user’s access to the Force, preventing him from spending Force Points and making it difficult for him to use Force powers. Time: Standard action. Target: One Force-using creature with a Dark Side Score of 1 or higher that is within 12 squares and within line of sight.

Make a Use the Force check. If your Use the Force check equals or exceeds the target’s Will Defense, the effect (if any) is determined by your check result:

DC 25: The target cannot spend Force Points for a number of hours equal to its Dark Side Score.

DC 30: As DC 25, plus the target moves –1 step along the condition track (see page 149) each time it uses a Force power in the same timeframe.

DC 35: As DC 25, except the target moves –2 steps along the condition track each time it uses a Force power in the same timeframe.

Special: This Force power has no effect on targets with a Dark Side Score of 0.

You can spend a Force Point to double the duration of the effect.

Alternatively, you can spend a Destiny Point (see page 112) to increase the duration to a number of days equal to the target’s Dark Side Score.
",stan,,1,12,Y,"Use the Force v. Will Def, no effect if Dark Side score is 0
DC25: target cannot spend Force Points for hours = Dark Side score
DC30: target cannot spend Force Points for hours = Dark Side score, -1 CT if uses Force powers
DC35: target cannot spend Force Points for hours = Dark Side score, -2 CT if uses Force powers
spend a Force Point to double duration, spend a Destiny Point to increase to days = Dark Side score",L,,,,
C,52,Shatterpoint,"You can see the critical point of something, whether it is a person or object, that would shatter if struck at the right time. Time: Swift action. Target: You. Make a Use the Force check. The result of the check determines the effect, if any :

DC 25 : If your next attack made before the end of this encounter hits, treat the target's damage threshold against the attack as though it is 5 points lower than normal.

DC 30 : As DC 25, except treat the target's damage threshold as though it is 10 points lower than normal.

DC 35 : As DC 25, except treat the target's damage threshold as though it is 15 points lower than normal.

DC 40 : As DC 25, except treat the target's damage threshold as though it is 20 points lower than normal.

Special : You can spend a Force Point to ignore the target's DR in addition to gaining the normal effect of this power.
",swif,,you,,,"DC25: if next atk hits, target's threshold is 5 lower
DC30: if next atk hits, target's threshold is 10 lower
DC35: if next atk hits, target's threshold is 15 lower
DC40: if next atk hits, target's threshold is 20 lower
spend Force Point to ignore DR also",,,,,
J,34,"Shien Deflection 
[lightsaber form]","You deflect an incoming attack and leap toward your attacker with fierce abandon. Time: Reaction (when an enemy makes a non-area ranged attack against you). Targets: You plus one enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: Compare the result of your Use the Force check against the attack roll of the incoming attack. If your Use the Force check equals or exceeds the incoming attack roll, the attack deals half damage on a hit. You can then move up to your speed toward your attacker, and if you end your movement within reach of your attacker, you can make a single melee attack with a lightsaber against that target. 

DC 20: As DC 15, except you can move up to your speed + 2 squares. 

DC 25: As DC 15, except you can move up to your speed + 4 squares. 

DC 30: As DC 15, except you can move up to your speed + 6 squares. 

Lightsaber Form (Shien): If you have the Shien talent, until the start of your next turn you take no cumulative penalties on your Use the Force checks for multiple Deflect attempts. 

Special: You can spend a Force Point to take no damage from the incoming attack if your skill check equals or exceeds the attack roll of the incoming attack. 
",reac,,you,,,"DC15: Use the Force v. non-area ranged attack for half dam & then move your speed & if in reach of target make single atk
DC20: Use the Force v. attack for half dam & move your spd +2 sq & if in reach of target make single atk
DC25: Use the Force v. attack for half dam & move your spd +4 sq & if in reach of target make single atk
DC30: Use the Force v. attack for half dam & move your spd +6 sq & if in reach of target make single atk
Lightsaber form (Shien): take no cumulative penalties on Use the Force checks to Deflect
spend a Force Point to take no damage",,x,,,
K,52,"Slow 
[telekinetic]","The Force enables you to slow your targets as if they are encumbered by an extremely heavy load, making it difficult for them to move. Time: Standard action. Target: One creature or droid within 12 squares and within line of sight.

Make a Use the Force Check. If your result equals or exceeds your target's Fortitude Defense, they take the following effects as determined by your check result:

DC 15: The target's speed is reduced by 1 square until the beginning of your next turn. The target is also encumbered, as though carrying a heavy load, taking a -10 penalty to Acrobatics, Climb, Endurance, Initiative, Jump, Stealth, and Swim checks.

DC 20: As DC 15, except speed is reduced by 2 squares.

DC 25: As DC 15, except speed is reduced by 3 squares.

DC 30: As DC 15, except speed is reduced by 4 squares.

The target adds a size modifier to its Fortitude Defense: Colossal, +50; Gargantuan, +20; Huge, +10; Large, +5; Medium and smaller, +0.

Special: You can spend a Force Point to impose a -5 penalty to your target's Fortitude Defense against the use of this power.
",stan,,1,12,Y,"DC15: Use the Force v. Fort Def, spd -1sq, -10 Acrobatics, Climb, Endurance, Initiative, Jump, Stealth, Swim
DC20: Use the Force v. Fort Def, spd -2sq, -10 Acrobatics, Climb, Endurance, Initiative, Jump, Stealth, Swim
DC25: Use the Force v. Fort Def, spd -3sq, -10 Acrobatics, Climb, Endurance, Initiative, Jump, Stealth, Swim
DC30:Use the Force v. Fort Def, spd -4sq, -10 Acrobatics, Climb, Endurance, Initiative, Jump, Stealth, Swim
spend a Force Point for -5 Fort Def against this power",,,,x,
L,54,"Stagger 
[telekinetic]","You use the Force to lash out at a nearby enemy, causing it to stumble. Time: Swift action. Target: One enemy adjacent to you.

Make a Use the Force check. Compare the result to the target's Fortitude Defense. If the check result equals or exceeds target's Fortitude Defense, the target takes 2d6 points of Force damage and is pushed 1 square away from you. This movement does not provoke attacks of opportunity.

Special: You can spend a Force Point when you activate this power to affect all enemies adjacent to you, in which case compare your Use the Force check result to each target's Fortitude Defense.
",swif,,1,adjacent,,"v. Fort Def for 2d6 force dam & pushed one square away from you                                                               
spend Force Point to affect all enemies adjacent to you, move does not provoke Atk of Opp",,,,x,
CR,100,Surge,"The Force enables you to jump great heights and distances as well as move quickly. Time: Free action. Target: You.

Make a Use the Force check. The result of the check determines the effect, if any:

DC 10: You gain a +10 Force bonus on Jump checks and your speed increases by 2 squares until the start of your next turn. The Force bonus on Jump checks includes the adjustment for increased speed.

DC 15: As DC 10 except: +20 Force bonus on Jump checks, speed increases by 4 squares.

DC 20: As DC 10 except: +30 Force bonus on Jump checks, speed increases by 6 squares.

[[House rule:

DC 25: As DC 10 except: +40 Force bonus on Jump checks, speed increases by 8 squares.]]

Special: You can spend a Force Point to increase the power’s Force bonus on Jump checks by 10 and increase your speed by an additional 2 squares.

Using the surge power counts as a running start for determining a Jump DC. You may spend a Destiny Point (see page 112) to gain an additional 4 squares of movement; when you do so, you may also use any and all movement for the round as a part of a jump (no Jump check required).
",free,,you,,,"DC10: +10 Force Jump, speed increases 2 squares
DC15: +20 Force Jump, speed increases 4 squares
DC20: +30 Force Jump, speed increases 6 squares
spend a Force Point to increase by +10 and 2 squares
may use any and all movement as part of a jump
spend DP to increase 4 squares, no roll necessary",,,,,
J,34,"Swift Flank 
[lightsaber form]","You leap over or dash around your opponent, striking before he has time to react. Time: Standard action. Targets: You plus one adjacent enemy. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 20: You can move up to half your speed; this movement does not provoke attacks of opportunity. You can then make a single melee attack with a lightsaber against an adjacent target. If the space you occupy and the space you started in are spaces that flank the opponent, the opponent is considered to be flanked for your attack. 

DC 25: As DC 20, except you can move up to your speed. 

DC 30: As DC 20, except you can move up to your speed + 2 squares. 

DC 35: As DC 20, except you can move up to your speed + 4 squares. 

Lightsaber Form (Vaapad): if you have the Vaapad talent, your target is considered flat-footed against you until the end of your turn. 

Special: You can spend a Force Point to increase your movement by 2 squares. 

",stan,,you,,,"DC20: move half your speed w/out atk of opp & make single atk against adjacent target & if start & stop flank the target it's flanked
DC25: move up to your speed
DC30: move up to your speed +2 sq
DC35: move up to your speed +4 sq
Lightsaber form (Vaapad): target is considered flat-footed 
spend a Force Point to increase your move by 2 sq",,x,,,
C,52,Technometry,"You can tap into and read technological devices, and in some cases, control them. Time: Standard action. Target: One droid or electronic device touched. Make a Use the Force check. Compare the result to the target's Will defense. If the check equals or exceeds the target's Will defense, you discover one piece of

information contained within the target's memory as determined by the Access Information table under the Use Computer skill description (see page 75 of the SECR). For every 5 points that you exceed the target's Will defense, you can learn one additional piece of information.

Alternatively, if you target a droid and succeed at your Use the Force check, you may choose one of the following effects and apply it to the targeted droid :

- The droid's senses are jammed, allowing you to make Stealth checks against until the end of your next turn, even though it is aware of you.

- The droid is denied its Dexterity bonus to Reflex defense against your next attack made before the end of your next turn.

- On its next two turns, the droid does nothing except flee from you at top speed.

Special : You can spend a Force Point to learn two more pieces of information or extend one of the droid-specific effects of this power by an additional round.
",stan,,1,touch,,"droid or electronic device: Use the Force v. Will Def for 1 piece of info as 
Access Info of Use Computer, for every 5 over gain another piece of info, 
can jam droid senses (can use Stealth), droid loses Dex to Ref Def v. you, or flees next 2 turns",,,,,
J,35,"Tempered Aggression 
[dark side, 
lightsaber form]","You throw yourself against an opponent, controlling your aggression to prevent it from getting the better of you. Time: Standard action. Target: One enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 30: You can make a single melee attack with a lightsaber against the target. If you beat the target's Reflex Defense by 10 or more, the attack is treated as a critical hit. 

DC 35: As DC 30, except you must beat your target's Reflex Defense by 5 or more. 

DC 40: As DC 30, except you must beat your target's Reflex Defense by 2 or more. 

Lightsaber Form (Vaapad): If you have the Vaapad talent, this Force power does not have the [dark side] descriptor for you. 

Special: You can spend a Force Point to deal +2 dice of damage with the attack if it hits. These additional dice of damage are added after the damage is doubled, if it is a critical hit. 
",stan,,1,,,"DC30: if beat target's Ref Def with single atk by 10 or more, treat as Crit
DC35: if beat target's Ref Def with single atk by 5 or more, treat as Crit
DC40: if beat target's Ref Def with single atk by 2 or more, treat as Crit
Lightsaber form (Vaapad): this power is not dark for you
spend a Force Point to deal +2 dice dam after crit",D,x,,,
J,28,"Thought Bomb 
[mind-affecting]","You use the Force to radiate out harmful waves of telepathy, damaging the minds of nearby foes. Time: Standard action. Targets: All enemies within 2 squares of you. 

Make a Use the Force check. Compare the result of the skill check to each target's Will Defense. If the result equals or exceeds the target's Will Defense, the target takes 2d6 points of Force damage and loses its swift action on its next turn. This is an area effect. 

Special: You can spend a Force Point to increase the damage dealt by this power by +2d6 points.
",stan,,all,2,,"Use the Force v. Will Def for 2d6 dam & lose swif next turn
spend Force Point for +2d6 dam",,,x,,
J,35,"Twin Strike 
[lightsaber form]","You swing both of your lightsabers in an arc toward the target, slamming them home with great force. Time: Standard action. Target: One enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: You can make a single melee attack with a lightsaber against your target. If this attack hits, add the base damage dice of your other lightsaber to the damage roll. 

DC 20: As DC 15, and you gain a +1 Force bonus on the attack roll. 

DC 25: As DC 15, and you gain a +2 Force bonus on the attack roll. 

Lightsaber Form (Jar'Kai): If you have the Jar'Kai talent, you triple your deflection bonus to Reflex Defense from the Lightsaber Defense talent instead of doubling it until the end of your next turn. 

Special: You must be wielding two lightsabers to use this power. You can spend a Force Point to add +1 die of damage to the damage from your lightsaber attack. 
",stan,,1,,,"Must be wielding 2 lightsabers.
DC15: make a single attack & if hits add base damage dice to the damage roll
DC25: make a single attack & if hits add base damage dice to the damage roll & +1 atk
DC30: make a single attack & if hits add base damage dice to the damage roll & +2 atk
Lightsaber form (Jar'Kai): triple your deflection bonus to Ref Def from Lightsaber Defense 
spend a Force Point for +1 die dam",,x,,,
J,35,"Unbalancing Block 
[lightsaber form]","You catch an opponent's weapon on your blade before deactivating your blade momentarily, causing him to stumble. Time: Reaction (when an adjacent enemy makes a melee attack against you). Target: You. 

Make a Use the Force check. Compare the result of your Use the Force check against the attack roll of the incoming attack. If your Use the Force check equals or exceeds the incoming attack roll, the attack deals half damage on a hit. Additionally, if your Use the Force check equals or exceeds the target's Will Defense, the target is considered flat-footed until the end of your next turn. 

Lightsaber Form (Trakata): If you have the Trakata talent, you deal +2 dice of damage with the first attack you make on your next turn against your attacker. 

Special: You can spend a Force Point to take no damage from the incoming attack if your skill check equals or exceeds the attack roll of the incoming attack. 
",reac,,you,,,"Use the Force v. attack roll for half dam & if Use the Force beats Will Def target is flat-footed 
Lightsaber form (Trakata): +2 dice dam with first attack 
spend a Force Point to take no dam",,x,,,
J,36,"Unhindered Charge 
[lightsaber form]","You move quickly to your opponent, ignoring difficult terrain and obstacles. Time: Standard action. Targets: You plus one enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: You can move up to your speed toward an enemy, ignoring difficult terrain and low obstacles. If you end your movement within reach of your enemy, you can make a single melee attack with a lightsaber against that target. 

DC 20: As DC 15, except you can move up to your speed + 2 squares. 

DC 25: As DC 15, except you can move up to your speed + 4 squares. 

DC 30: As DC 15, except you can move up to your speed + 6 squares. 

Lightsaber Form (Sokan): If you have the Sokan talent, you gain a +5 Force bonus to your Reflex Defense against attacks of opportunity made against you during this movement. 

Special: You can spend a Force Point to move an additional 2 squares. 
",stan,,you,,,"DC15: move your speed toward an enemy ignoring difficult terrain & low objects & make single attack
DC20: move your speed toward an enemy ignoring difficult terrain & low objects & make single attack +2 sq
DC25: move your speed toward an enemy ignoring difficult terrain & low objects & make single attack +4 sq
DC30: move your speed toward an enemy ignoring difficult terrain & low objects & make single attack +6 sq
Lightsaber form (Sokan): +5 Ref Def against attacks of opportunity made against you during this move
spend a Force Point to move +2 sq",,x,,,
K,52,"Valor 
[light side]","You call upon the strength of the Force, reaching out to your ally and sharing your strength with them. Time: Standard action. Target: One ally within 12 squares and within line of sight.

Make a Use the Force check. The result of the check determines the effect, if any.

DC 15: The target gains a +1 bonus to Will Defense against mind-affecting and fear effects until the start of your next turn.

DC 20: As DC 15, except the bonus increases to +2.

DC 25: As DC 15, except the bonus increases to +5.

DC 30: As DC 15, except the bonus increases to +10.

Special: You can spend a Force Point when you activate this power to have the bonus apply against all effects that target Will Defense (not just mind-affecting and fear effects).

You can maintain valor from round to round, extending the normal duration.

Maintaining the valor power is a swift action. If you suffer damage while maintaining valor, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power. You may have multiple instances of valor active at once (affecting different allies), but maintaining each one requires a swift action each round, and each one must be activated by a separate use of valor.
",stan,swif,ally,12,Y,"DC15: +1 Will Def v. mind-affecting & fear affects until start of your next turn
DC20: +2 Will Def v. mind-affecting & fear affects until start of your next turn
DC25: +5 Will Def v. mind-affecting & fear affects until start of your next turn
DC30: +10 Will Def v. mind-affecting & fear affects until start of your next turn
spend a Force Point to expand to all powers v. Will Def",L,,,,
CR,100,"Vital Transfer 
[light side]","You use your own life force to heal another living creature, using the Force as a conduit. Time: Standard action. Target: One creature touched.

Make a Use the Force check. The result of the check determines the effect, if any:

DC 15: The target heals hit points equal to 2 x its character level.

DC 20: The target heals hit points equal to 3 x its character level.

DC 25: The target heals hit points equal to 4 x its character level.

Each time you use vital transfer, you take half as much damage as you heal (rounded down). You may choose to heal less than the result of your Use the Force check allows. Official Clarification: You may not heal yourself with this power.

Special: You may spend a Force Point to avoid taking any damage when you use this Force power. You may spend a Destiny Point (see page 112) to move the target +5 steps on the condition track in addition to healing it normally.
",stan,,1,touch,,"DC15: heals hit points = 2 x target's level
DC20: heals hit points = 3 x target's level
DC25: heals hit points = 4 x target's level
take half damage you heal, spend Force Point to avoid damage, Destiny Point moves target +5 CT",L,,,,
J,36,"Vornskr's Ferocity 
[dark side, 
lightsaber form]","You walk the thin line between darkness and light as you ferociously attack your foe. Time: Standard action. Target: One enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 20: You make a single melee attack with a lightsaber against the target, dealing +1 die of damage if you hit. 

DC 25: As DC 20, except you deal +2 dice of damage. 

DC 30: As DC 20, except you deal +3 dice of damage. 

DC 35: As DC 20, except you deal +4 dice of damage. 

Lightsaber Form (Juyo): If you have the Juyo talent, this power does not have the [dark side] descriptor for you. 

Special: You can spend a Force Point to use this power at the end of a charge. 
",stan,,1,,,"DC20: make a single attack +1 die dam
DC25: make a single attack +2 die dam
DC30: make a single attack +3 die dam
DC35: make a single attack +4 die dam
Lightsaber form (Juyo): this power is not dark for you
spend a Force Point to use at the end of a charge",D,x,,,
K,52,"Wound 
[dark side]","You cause spasms in the lungs of your target, painfully injuring them. Time: Standard action. Target: One creature within 6 squares and within line of sight.

Make a Use the Force check. Make one roll and compare the result to the target's Fortitude Defense. If the result equals or exceeds the target's Fortitude Defense, it takes 4d6 points of Force damage. The target adds a size modifier to its Fortitude Defense: Colossal, +50; Gargantuan, +20; Huge, +10; Large, +5; Medium and smaller, +0.

Special: If the target moves 1 or more steps down the condition track as a result of being damaged by this power, the condition becomes persistent until the target is treated with a DC 20 Treat Injury check to perform surgery.

You can spend a Force Point to increase the damage by 2d6.
",stan,,1,6,Y,"Use the Force v. Fort Def, 4d6 dam, if target moves down CT, persistent condition DC20 to remove
spend a Force Point for +2d6 dam",D,,,,
