BOOK,PAGE,FEAT,Desc.,PREREQUISITES,BENEFIT,Jedi,Noble,Scoundrel,Scout,Soldier,TAG
K,35,Sniper Shot,"When wielding only weapons with which you are proficient, you can gain a +2 bonus on your ranged attack, but you take a -5 penalty to Reflex Defense until the beginning of your next turn. The bonus to attacks applies to all attack rolls made until the beginning of your next turn. Special: This feat cannot be used with vehicle weapons or heavy weapons.",Proficient with ranged weapon*,"+2 ranged Atk, -5 Ref Def, not with vehicle or heavy weapons",,,x,,x,"[ranged(grenade, fired, thrown)][ranged attack], [combat][offensive], "
R,35,Spacer's Surge,"Whenever you roll a natural 20 on a Pilot check, you gain 1 temporary Force Point. If that Force Point is not spent before the end of the encounter, it is lost.",Duros,"when roll Nat 20 on Pilot check, gain Force Point to use before end of enc",,,,,,"[species(duros)], [skill(pilot)], [vehicle][starship]"
GW,25,Sport Hunter,"When you make a ranged attack with a slugthrower or sporting weapon, you gain one of the following benefits, depending on the kind of weapon you use. Slugthrower Pistol: When you use a slugthrower pistol at point-blank range, you deal an extra +1 die of damage with the weapon. Slugthrower Rifle: When you use a slugthrower rifle, the damage dice increase from d8 to dl2. Sporting Blaster Pistol: When you use a sporting blaster pistol, reroll any result of 1 on the damage dice until you get a result other than 1. Sporting Blaster Rifle: When you use a sporting blaster rifle, you gain a + 1 bonus to attack rolls when you aim before firing.",Proficient with weapon used*,"Slugthrower Pistol at PB +1 die dam, Slugthrower Rifle dam d12, Sporting Blaster Pistol reroll any rolls of 1 for dam, Sporting Blaster Rifle +1 atk when aiming",,x,,x,x,"[ranged(fired)][ok], [combat][offensive], [aim], "
C,31,Spray Shot,"When you have a weapon set on autofire, you can reduce the area targeted by your autofire attack to 1 square.",,reduce autofire to 1 square,,,,,,"[ranged(fired)], [combat][offensive], [autofire]"
GW,26,Staggering Attack,"When using a melee weapon, you can make an attack that disrupts an enemy's concentration. You take a -2 penalty to your attack roll, and if your attack deals damage, the target takes a -2 penalty to skill checks until the end of your next turn. Alternatively, you can take a -5 penalty to your attack roll, and if your attack deals damage, the target takes a -5 penalty to skill checks until the end of your next turn.","Proficient with weapon used*, BAB +1",melee atk -2 atk & deal dam target -2 to skill checks or you can take -5 atk for -5 to skills,x,,,,x,"[melee(armed, unarmed)][question ulswp], [combat][offensive], "
SV,24,Staggering Attack,"Any time you would deal additional damage from a feat [[or talent]] that grants one or more extra dice of damage, you can forgo the extra damage to move the target 2 squares per extra die sacrificed. This movement does not provoke attacks of opportunity.",Rapid Shot or Rapid Strike or Sneak Attack talent,"if deal extra dice dam, can move 2 sq per extra die not used",,,,,,"[melee(armed, unarmed)][question ulswp], [combat][offensive], "
GI,29,Stand Tall,"Once per encounter when you take damage, all allies who are within 6 squares of you and within your line of sight can, as a reaction, make a single attack on the target that damaged you.",,"1/enc when you take dam all allies w/in 6 sq & LOS may atk attacker, reac",x,x,x,x,,[combat][defensive]
S,20,Starship Designer,"You can design a starship from scratch. Doing so takes a minimum of 30 days and a DC 25 Mechanics check, adding 1 to the DC and 1 day to the time for every additional 100,000 credits of the design's final cost beyond the first 100,000 credits (even a genius starship designer can spend years working out the blueprints for a Star Destroyer). Other characters trained in the Mechanics skill may use the aid another action to assist your Mechanics check; if any assisting character also has the Starship Designer feat, divide the starship's cost by the number of characters who have this feat (including the primary designer) when determining the time required. When making modifications to starships, you never treat the work as if though it were a nonstandard modification, even if it normally would be (see Nonstandard Modifications, SotG page 39). Additionally, you can make custom modifications to starships. Each of these modifications has a base cost of 5,000 credits (multiplied by the star-ship size cost modifier given on SotG page 38) and requires a DC 25 Mechanics check. On a failed check, the modification fails; you must spend half again as much time and money to make a second attempt, and you gain a +2 bonus on your Mechanics check for each attempt after the first. Installation of a custom modification normally takes one day per 5,000 credits of final cost. The same system can be customized multiple times, but doing so becomes increasingly difficult and expensive. For every previous custom modification on a given system, increase the DC by 5 and the base cost by 10,000 credits. No system can be customized more than three times. Multiple benefits from successive customizations stack. Typical customizations are described below. The Gamemaster may allow other modifications.
•Add Emplacement: You add 1 unused emplacement point to a starship. 
•Improve Hull: You add a number of hit points to a starship equal to 1/2 its Strength score (rounded down to the nearest multiple of 10). 
•Improve Hyperdrive: You can reengineer a hyperdrive to improve its class by 1 step (x2 to x1, x1 to x.75, and so on). The hyperdrive obeys all the restrictions of its new class. (This is the primary way that class .75 and class .5 hyperdrives come into existence.)
•Improve Shields: The SR of the shields is increased by 5.
•Improve Weapons: You can grant one weapon a +1 equipment bonus on attack rolls.
See SotG Chapter 3 for more information on designing and modifying starships.","Tech Specialist, Trained in Mechanics",you can design a starship from scratch,,,,,,"[skill(mechanics], [tech specialist], [craft]"
S,20,Starship Tactics,"You add to your starship maneuver suite a number of starship maneuvers equal to 1 + your Wisdom modifier (minimum of one). You can add the same maneuver more than once. Special: You can take this feat more than once. Each time you take this feat, you add to your starship maneuver suite a number of new maneuvers equal to 1 + your Wisdom modifier (minimum of one). If your Wisdom modifier permanently increases, you immediately gain a number of starship maneuvers equal to the number of Starship Tactics feats you have taken. See SotG Chapter 2 for more information on starship maneuvers.","Vehicular Combat, Trained in Pilot",Learn a number of starship maneuvers = 1 + Wis mod (min one),,,,,,"[wisdom], [skill(pilot)], [starship]"
GW,27,Stava Training,"You are trained in the Stava unarmed fighting style of the Noghri and can subdue an enemy with ease. When making a grab attack (see page 152 of the Saga Edition core rulebook), you are considered to be one size category larger for the purpose of determining the size of the opponent that you can grab. If you are capable of making a grapple attack, you are considered to be one size category larger for the purpose of determining your size modifier to grapple checks. When making an unarmed attack against a target while charging an opponent (see page 152 of the Saga Edition core rulebook), if your attack roll is successful, you can make an immediate grab attack against that target as a free action. You must be wearing light or no armor to gain the benefit of this feat. Special: If you have the Stava Expertise talent (see the Martial Arts Forms talent tree on page 33), you can add your Strength bonus and your Dexterity bonus to grapple checks. You must be wearing light or no armor to gain this special benefit.","Martial Arts I, Running Attack, DEX 13","when making a grab you are 1 size larger, v. a charging opponent can make a grab if atk is successful, must be wearing light or no armor, w/Expertise add Str & Dex mod to grapple checks",,,,,,"[melee(unarmed)], [martial arts], [charge], [combat][offensive]"
SV,24,Stay Up,"Once per encounter, when you would normally take damage from an attack, you can instead choose to take half damage and move -1 step along the condition track.",Trained in Endurance,1/encounter instead of dam you can take half dam & -1 CT,x,,,x,x,"[skill(endurance)], [combat][defensive]"
GW,26,Steadying Position,"When you are prone and aim before making a ranged attack, your target does not benefit from its Dexterity bonus to Reflex Defense.","Careful Shot, BAB +2, Point Blank Shot",when prone & aim your target loses Dex to Ref Def,,,x,x,x,"[ranged(fired, thrown)][target], [question gtaim], [aim], [combat][offensive], "
F,35,Strafe,"When you make an autofire attack, instead of attacking a 2-square-by-2-square area, you attack a line 1 square wide and 4 squares long. Special: If you are using a jetpack, you can use the Strafe feat to make an autofire attack against all squares you fly over. Unleashed: When you use the Strafe feat, you can spend a Destiny Point to target an area 4 squares long by 3 squares wide.",BAB +1,autofire Atk 1 sq wide & 4sq long instead of 2x2,,,,,x,"[ranged(fired)], [combat][offensive], [autofire]"
R,36,Strong Bellow,"Once per encounter when you use your Bellow species ability, you move one less step down the condition track.",Ithorian,1/enc move one less down CT when use bellow,,,,,,"[species(ithorian)], [combat][offensive]"
CR,88,Strong in the Force,"When you spend a Force Point to adjust the result of an attack roll, skill check, or ability check, you roll d8s rather than d6s.",,roll d8 instead of d6 when you spend a Force Point,x,,,,,[force]
SV,24,Superior Tech,"Select one of the following: armor, weapons, droids, vehicles, or devices. You can install advanced traits when modifying the selected type of equipment. These traits replace the traits granted by the Tech Specialist feat. You may still use the Tech Specialist options if you so choose. You must pay one-fifth the cost of the device, armor, weapon, droid, or vehicle you wish to modify or 2,000 credits, whichever is more, before beginning the modification. This fee replaces the normal cost of modification from the Tech Specialist feat. Completing the modification requires 1 day per 1,000 credits of the modification's cost. At the end of this time, make a DC 30 Mechanics check; you cannot take 10 or take 20 on this check. If the check succeeds, the modification is completed successfully, and the object gains the desired trait. If the check fails, you lose all credits spent making the modification, and the object does not gain the desired trait. However, you can start over from scratch if you wish. Only characters with the Tech Specialist feat can assist you, reducing proportionately the time needed to complete the modification. At the end of modification process, they can make a Mechanics check to aid your check. The market value of a modified item is equal to the base cost of the item plus double the cost of the modifications made to it (not including credits wasted on failed modification attempts). Special: You may select this feat multiple times. Each time you do so, you must choose a different set of traits (armor, devices, droids, vehicles, or weapons).
•Mobile Armor (armor): Increase the armor’s speed by 1 square (medium and heavy armors only). 
•Reinforced Armor (armor): The armor grants damage reduction 2. 
•Superior Agile Armor (armor): Increase the armor’s maximum Dexterity bonus by 2. 
•Superior Fortifying Armor (armor): Increase the armor’s equipment bonus to Fortitude Defense by 2. 
•Superior Helmet Package (armor): The armor grants a +5 equipment bonus on Perception checks. 
•Superior Protective Armor (armor): Increase the armor’s armor bonus to Reflex Defense by 2. 
•Superior Durability (device): Increase the device’s DR by 2 and its hit points by 150%. [[Unofficial errata: should be 50%, not 150%. This would follow the logical progression from Tech Specialist]]
•Reinforced Device (device): The device's break DC increases by 5.
•Superior Mastercraft (device): Skill checks made using the device gain a +2 equipment bonus, or any existing equipment bonus increases by 2. 
•Superior Strength (device): Increase the device’s Strength score by 4. 
•Superior Upgrade (device): The device gains two additional upgrade slots. 
•Ion Dispersal Coating (droid): The droid gains DR 5 against ion damage. 
•Superior Ability (droid): Increase the droid’s Dexterity, Intelligence or Strength by 4. 
•Superior Ability (vehicle): Increase the vehicle’s Dexterity score by 4 or its Strength score by 2. 
•Superior Sensors (vehicle): Increase the vehicle’s Perception modifier by 2. 
•Superior Shields (vehicle): Increase the vehicle’s SR by 10. 
•Superior Speed (vehicle): Increase the vehicle’s speed by one-third of its base speed (minimum 1 square). 
•Superior Accuracy (weapon): The weapon gains a +2 equipment bonus on attack rolls. 
•Superior Capacity (weapon): The weapon’s power pack provides double the normal number of shots. 
•Superior Damage (weapon): The weapon deals +5 damage. If the weapon has a damage multiplier, apply the extra damage before applying the multiplier. 
•Superior Range (Weapon): The weapon’s ranges all increase by 50%. 
*S&V 48: Device Traits: Weapons, armor, and vehicles are also devices, so they are eligible for all of these modifications. (Droids are characters, not devices.) In addition to the listed modifications, it is possible to install an additional upgrade slot on any device using the Tech Specialist feat. This modification can be made only once. 
Droid Traits: Any equipment with the droidification upgrade (page 40) or weapon with the autonomous upgrade (page 42) is technically a droid, so it is eligible for these modifications. 
Armor Traits : If a device or vehicle has an armor bonus to its Reflex Defense (either normally or because of an upgrade). it can benefit from the protective armor modification. 
*optional: you can consider increasing the license value for this upgrade, causing the buyer the need to acquire a new license.","INT 17, Tech Specialist, 9th level, trained in Mechanics",see page 24-25 SV,,,,,,"[skill(mechanics], [tech specialist], [craft], [intelligence]"
T,91,Suppression Fire,"When you use the aid another action to impose a penalty to an enemy's attack rolls and your attack roll exceeds the target's Will Defense, that enemy must end its next turn in a position where it has cover from you if possible. Targets whose level is equal to or higher than your character level are immune to the effect of Suppression Fire. This is a mind-affecting fear effect.","Str 13, Burst Fire, WP Heavy","with aid another & Atk roll beats target's Will Def, target needs cover",,,,,,"[ranged(fired, thrown)][target], [question gtaa], [combat][offensive], [strength], [support], [aid fire]"
R,36,Sure Climber,"Whenever you are not distracted or threatened, you gain a natural climb speed of 4 squares. Normal: Without a climb speed, you must succeed on a Climb check to climb.",Sullustan,if not distracted or threatened gain climb speed of 4,,,,,,"[species(sullustan)], [skill(climb)]"
CR,88,Surgical Expertise,"You can perform surgery in 10 minutes. Normal: Performing surgery typically takes 1 hour (see the Treat Injury skill, page 74).",Trained in Treat Injury,can perform surgery in 10 minutes instead of an hour,,x,,,,[skill(treat injury)]
R,36,Survivor of Ryloth,"Once per hour when you and your allies are in an environment of extreme heat or cold, you can make a Survival check. You and up to 10 allies can use the results of the Survival check in place of your Fortitude Defenses when the extreme heat or cold makes its hourly attack roll against your Fortitude Defenses.",Twi'lek,1/hour in heat or cold you & 10 allies can use result of Survival check in place of Fort Def ,,,,,,"[species(twi’lek)], [skill(survival)], [fortitude defense], [support], [defensive]"
F,35,Swarm,You gain a +1 circumstance bonus on melee attack rolls for each allied character adjacent to your target.,"Coordinated Attack, BAB +2",+1 melee Atk for each allied character adjacent to target,x,,,,,"[melee(armed, unarmed)], [combat][offensive], "
SV,25,Tactical Advantage,"When you successfully damage an opponent using an attack of opportunity, you can immediately move 1 square in any direction. This movement does not provoke attacks of opportunity.",Combat Reflexes,"if do damage with Atk of Opp, can move 1 sq, no atk of opp",x,x,,,,"[ranged(fired)][question gtaoo], [melee(armed, unarmed)], [attack of opportunity], [combat][offensive]"
S,21,Tactical Genius,You regain all spent starship maneuvers at the end of any round in which you roll a natural 20 on an attack roll. Normal: Only a natural 20 rolled on a Pilot check to activate a starship maneuver restores all starship maneuvers. See SotG Chapter 2 for more information on starship maneuvers.,"Starship Tactics, Vehicular Combat, trained in Pilot",regain all spent maneuvers at end of round with natural 20 on Atk,,,,,,"[skill(pilot)], [starship]"
GW,28,Tae-Jitsu Training,"You are trained in the Tae-Jitsu style of unarmed fighting and can use a variety of techniques to defeat your enemy. When you score a critical hit with an unarmed attack, the damage dealt by your attack increases by one die step, to a maximum of d12. Once per encounter, when you make a successful unarmed attack against an enemy, you can spend a swift action to designate that enemy as your primary adversary. Until the end of the encounter, you gain the benefit of the Dodge feat against that enemy and against one other enemy of your choice. Special: If you have the Tae-Jitsu Expertise talent (see the Martial Arts Forms talent tree GW page 33), when you score a critical hit against an enemy who has been designated as your primary adversary, that enemy takes a -2 penalty to attack rolls until the end of your next turn.","Dodge, Martial Arts I, trained in Initiative, DEX 13","w/crit & unarmed dam increases 1 die step (d12 max), 1/enc w/successful atk spend swif to designate primary adversary & until end of enc gain Dodge feat v. primary & 1 other enemy, w/Expertise w/crit v. primary enemy -2 atk until next turn",,,,,,"[melee(unarmed)], [martial arts], [combat][offensive], [defensive]"
UR,28,Targeted Area,"When you make a successful area attack, select a single target hit by the attack. That target takes an additional 5 points of damage from the attack, before applying the effect of the Evasion talent.","Weapon Proficiency in selected weapon*, BAB +5.",select 1 target in area atk & they take +5 dam before Evasion,,,,x,x,"[combat][offensive], [area]"
S,21,Tech Specialist,"You can modify a device, suit of armor, weapon, droid, or vehicle so that it gains a special trait. Specific traits are given on the table below. You may perform only one modification at a time. Unless noted otherwise, you cannot grant more than one benefit to a single device, suit of armor, weapon, droid, or vehicle, and you cannot apply the same benefit more than once. Before beginning the modification, you must pay one-tenth the cost of the device, suit of armor, weapon, droid, or vehicle you wish to modify or 1,000 credits, whichever is more. Completing the modification requires 1 day per 1,000 credits of the modification's cost. At the end of this time, make a DC 20 Mechanics check; you can't take 10 or take 20 on this check. If the check succeeds, the modification is completed successfully, and the object gains the desired trait. If the check fails, you lose all credits spent making the modification, and the object doesn't gain the desired trait. However, you may start over if you wish. Other characters trained in the Mechanics skill can assist you, reducing proportionately the time needed to complete the modification. At the end of the modification process, they can make a Mechanics check to aid your check. The market value of a modified item is equal to the base cost of the item + double the cost of the modifications made to it (not including credits wasted on failed modification attempts). 
•Agile Armor (armor*): Increase the armor’s maximum Dexterity bonus by 1. 
•Fortifying Armor (armor*): Increase the armor’s equipment bonus to Fortitude Defense by 1. 
•Protective Armor (armor*): Increase the armor’s armor bonus to Reflex Defense by 1. 
•Additional Upgrade (device*): The device gains an additional upgrade slot. 
•Enhanced Strength (device*): Increase the device’s Strength score by 2. 
•Improved Durability (device*): The device's damage reduction increases by 1, and it gains extra hit points equal to one-quarter of its maximum hit points.
•Mastercraft Device (device*): Skill checks made using the device gain a +1 equipment bonus, or the device's existing equipment bonus increases by 1.
•Enhanced Ability (droid*): Increase the droid’s Dexterity, Intelligence or Strength by 2. 
•Enhanced Intelligence (droid*): Increase the droid's Intelligence score by 2.
•Enhanced Strength (droid*): Increase the droid's Strength score by 2.
•Enhanced Dexterity (vehicle): Increase the vehicle’s Dexterity score by 2. 
•Improved Speed (vehicle): Increase the vehicle’s speed by one-quarter of its base speed (minimum 1 square). 
•Improved Shields (vehicle): Increase the vehicle’s SR by 5. 
•Improved Accuracy (weapon): The weapon gains a +1 equipment bonus on attack rolls. 
•Improved Damage (weapon): The weapon deals +2 points of damage with a successful hit. If the weapon has a damage multiplier (for example, 6d10x2), apply the extra damage before applying the multiplier.
•Selective Fire (Weapon): An autofire-only ranged weapon can be set to fire single shots, or a single-shot ranged weapon can be made to have an autofire mode. It is still treated as an autofire-only weapon for purposes of bracing (Not allowed for weapons that have a burst radius or splash radius.)
*S&V 48: Device Traits: Weapons, armor, and vehicles are also devices, so they are eligible for all of these modifications. (Droids are characters, not devices.) In addition to the listed modifications, it is possible to install an additional upgrade slot on any device using the Tech Specialist feat. This modification can be made only once. 
According to the devs, you may add an upgrade slot to advanced cybernetics using Tech Specialist or Increase Size (S&V). You may use TS's device traits on advanced cybernetics.
Droid Traits: Any equipment with the droidification upgrade (page 40) or weapon with the autonomous upgrade (page 42) is technically a droid, so it is eligible for these modifications. 
Armor Traits : If a device or vehicle has an armor bonus to its Reflex Defense (either normally or because of an upgrade). it can benefit from the protective armor modification. ",Trained in Mechanics,modify an item to give a special trait,,x,x,,,"[skill(mechanics], [tech specialist], [craft]"
GW,29,Technical Experts (team feat),"You gain a +3 competence bonus to Mechanics checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, when you use the aid another action to assist an ally who has this feat with a Mechanics check, you provide a bonus of +4 instead of +2.",Trained in Mechanics,"+3 Mechanics & +1 each ally w/feat w/in 12 sq (max +7), aid another provides +4",,,,,,"[skill(mechanics], [team], [support]"
GW,28,Teräs Käsi Training,"You are trained in the Teras Kasi unarmed fighting style and can send an enemy reeling with a single punch. Once per round when you make a successful unarmed attack, you reduce the target's damage threshold by 5 when determining the effect of the attack. Special: If you have the Teras Kasi Basics talent (see the Master of Teras Kasi talent tree on page 53 of Threats of the Galaxy), you are considered to be one size category larger when determining the damage of your unarmed attacks.","Martial Arts I, Str 13","1/rnd w/successful unarmed atk reduce target's dam thresh by 5 when determining effect, w/Basics you're considered 1 size larger for dam",,,,,,"[melee(unarmed)], [martial arts], [combat][offensive], [strength]"
R,36,Thick Skin,You gain a +2 species bonus to your Fortitude Defense.,Trandoshan,+2 Fort Def,,,,,,"[species(trandoshan)], [fortitude defense], [combat][defensive]"
CR,88,Throw,"If you successfully trip an opponent with a grapple attack, the opponent falls prone in any unoccupied space you desire up to 1 square beyond your reach and takes bludgeoning damage equal to your unarmed attack damage. A thrown opponent is no longer considered grappled.","BAB +1, Trip",throw a grappled opponent one square and deal damage,,,,,x,"[melee(unarmed)], [grapple], [combat][offensive]"
GW,30,Tireless Squad (team feat),"You gain a +3 competence bonus to Endurance checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, when you use the aid another action to assist an ally who has this feat with an Endurance check, you provide a bonus of +4 instead of +2.",Trained in Endurance,"+3 Endurance & +1 each ally w/feat w/in 12 sq (max +7), aid another provides +4",,,,,,"[skill(endurance)], [team], [support]"
SGD,25,Tool Frenzy,"As a standard action, using appendages not normally considered weapons, you can make several strikes as a single attack against a single target. Make an unarmed melee attack with a +2 bonus; until the end of your next turn, you take a -2 penalty to your Reflex Defense. Use the damage die of the highest rated appendage (see page 190 of the Saga Edition core rulebook) when determining damage. Special: True (nonimprovised) melee or ranged weapons are not considered tools for the purposes of this feat.",Small or larger droid with 2 appendages with tools,"as stan action strike w/appendages not normally weapons, unarmed +2 & -2 Ref Def, use dam of highest rated appendage for dam",,,,,,"[melee(unarmed)], species(droid)], [combat][offensive]"
CR,88,Toughness,You gain +1 hit point per character level.,,+1 hp per level,,,,,x,[combat][defensive]
UR,28,Trample,"When you use the mounted charge action, your mount can make a single melee attack as a free action. While charging, compare the result to the Reflex Defense of each enemy whose square you charge through. Each enemy hit by the attack takes claw, gore, or slam damage from the mount’s natural weapons plus the mount’s Strength modifier. You or your mount still can make a regular attack at the end of the charge. Special: You can use this feat if either you or your mount has taken it. Mounts with this feat do not require the prerequisite.",Trained in Ride,charging mount can make free natural atk each sq charge through ,,,,x,,"[skill(ride)], [combat][offensive], [charge]"
C,31,Trench Warrior,"When you are adjacent to a wall or object that provides you with cover from your target's ranged attacks, you gain a +1 circumstance bonus on your attack rolls against that target.",,+1 Atk v. target if you are adjacent to cover from target,,,,,x,"[ranged(grenade, fired, thrown)], [melee(armed, unarmed)][question range], [combat][defensive][offensive]"
CR,88,Trip,"If you succeed on a grappling attack (see page 153) and your opponent fails the opposed grapple check, it falls prone in its space and is no longer considered grappled. A prone opponent takes a -5 penalty on melee attack rolls. Melee attacks made against a prone target gain a +5 bonus, while ranged attacks made against a prone target take a -5 penalty. Special: You cannot use the Pin and Trip feats during the same round.",BAB +1,"knock a grappled opponent prone, attacks v. prone +5, theirs -5",,,,,x,"[melee(unarmed)], [grapple], [combat][offensive]"
CR,89,Triple Attack,"Choose a single exotic weapon or one of the following weapon groups: advanced melee weapons, heavy weapons, lightsabers, pistols, rifles, simple weapons. When you use the full attack action, you may make one additional attack when wielding such a weapon. However, you take a -5 penalty on all attack rolls until your next turn because you're trading precision for speed. The extra attack and penalty stack with those of Double Attack. Normal: Making a single attack is a standard action. Special: You may select this feat multiple times. Each time you select this feat, it applies to a different exotic weapon or weapon group. SSotG: If you take these feats with heavy weapons, they work normally with vehicle weapons.","BAB +11, Double Attack (chosen weapon), proficient with chosen weapon*","make a extra attack during full attack, -5 to all attacks, per group",x,,,,x,"[ranged(grenade, fired, thrown)][question gtmulti], [melee(armed, unarmed)][question ulswp], [combat][offensive], [vehicle][starship][SotG]"
CR,89,Triple Crit,"Choose one type of weapon, such as a blaster pistol, vibrodagger, or lightsaber. You deal more damage on a critical hit with that weapon. When you score a critical hit with the selected weapon, you deal triple damage. You may select ""unarmed attack"" as a weapon for purposes of this feat. Normal: A critical hit normally deals double damage to the target. Special: You can gain this feat multiple times. The effects do not stack. Each time you take this feat, it applies to a different weapon. SSotG: It's possible to take Triple Crit with a specific vehicle weapon. ","BAB +8, proficient with weapon*","deal triple damage on a Crit, with selected weapon",x,,,,x,"[ranged(fired)], [melee(armed, unarmed)][question ulswp], [combat][offensive], [vehicle][starship][SotG]"
K,35,Tumble Defense,"When an opponent attempts to tumble through a square you threaten with a melee weapon, add your base attack bonus to the DC of the Acrobatics check made to tumble. If the target fails the Acrobatics check to tumble, you can make an attack of opportunity against that opponent as normal. Special: You cannot use this feat when you are flat-footed.",Proficient with weapon*,"when tumbled against add your BAB to DC, if they fail Atk of opp",x,,,,x,"[melee(armed, unarmed)][question ulswp], [attack of opportunity], [combat][offensive], "
SGD,25,Turn and Burn,"When using the withdraw action, you can move up to 2 squares to escape threatened squares without provoking an attack of opportunity, and you can move your speed. You can spend a Force Point as a reaction to an enemy ending its movement adjacent to you to withdraw. Normal: When using the withdraw action, you can normally move only 1 square to escape a threatened square without provoking an attack of opportunity and can move only up to half your speed.","Droid, Dex 13, hovering/flying/wheeled/tracked locomotion","using withdraw can move 2 sq w/out atk of opp & move your spd, can spend FP as reac to an enemy ending its movement adjacent to withdraw",,,,,,"[species(droid)], [mobility], [dexterity], [combat][defensive]"
GW,30,Unhindered Approach (team feat),"You gain a +3 competence bonus to Jump checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, when you use the Jump skill, add 1 square to your total jump distance.",Trained in Jump,"+3 Jump & +1 each ally w/feat w/in 12 sq (max +7), add 1 sq to jump",,,,,,"[skill(jump)], [team], [support]"
GW,30,Unified Squadron (team feat),"You gain a +3 competence bonus to Pilot checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, you always succeed when trying to avoid collisions with vehicles piloted by allies who also have this feat (no collisions occur, even at character scale). Dev: Q. Does the Unified Squadron team feat work at starship scale? A. Yes.",Trained in Pilot,"+3 Pilot & +1 each ally w/feat w/in 12 sq (max +7), always avoid collisions w/allies",,,,,,"[skill(pilot)], [team], [support],  [vehicle][starship]"
F,35,Unleashed,"You can activate Unleashed abilities by spending a Destiny Point. You must have the Force Sensitivity feat in order to activate Unleashed abilities for Force powers and talents. Normal: You may not use Unleashed abilities and powers without this feat. [[Unleashed feats & talents: Bantha Rush, Charge, Cleave, Devastating Attack, Extreme Effort, Firepower, Ignite Fervor, Keen Shot, Mighty Swing, Penetrating Attack, Rage, Skirmisher, Sneak Attack, Strafe, Whirlwind Attack. Unleashed Force Powers: Battle Meditation, Battle Strike, Corruption, Dark Rage, Force Blast, Force Grip, Force Lightning, Force Storm, Force Thrust, Move Object, Repulse.]]

Unleashed Charge: By spending a Destiny Point, you make an amazing charge attack. As a standard action, you gain a +5 bonus on each attack roll and take a -2 penalty to your Reflex Defense until the start of your next turn. You can move up to twice your speed (minimum 2 squares) in a straight line through obstructed or unobstructed terrain, and then take a full attack action as a part of this standard action instead of a full-round action. Allies do not hinder your ability to charge. Special: If you have the Improved Charge feat, you can alter your course around obstructions and enemies. If you have the Powerful Charge feat, you can apply the benefit of that feat as well.

Unleashed Firepower: By spending a Destiny Point, as a standard action you can fire at up to five separate targets within range of your ranged weapon. Make a single attack roll and compare the result to the Reflex Defense of each target. Roll a single damage roll and apply it to every target successfully hit. Special: Bonuses and penalties from other feats and talents stack with this ability. You can attack each target only once. You must have enough ammunition for each target; otherwise you stop dealing damage when you run out. Aiming provides no benefit on this attack.

Unleashed Rage: By spending a Destiny Point at the start of your rage, you gain an additional + 10 to your melee attack rolls and melee damage rolls and +5 to your Fortitude Defense. At the end of your rage, you move -2 persistent steps along the condition track. The penalties imposed by this condition persist until you take at least 20 minutes to recuperate, during which time you can’t engage in any strenuous activity. Special: Bonuses and penalties from other feats and talents stack with this ability.
",Destiny,spend Destiny Point to access Unleashed abilities,,,,,,x
R,30,Unstoppable Combatant,"You can catch more than one second wind per encounter. Normal: Even if you can catch multiple second winds per day, without this feat you are limited to one second wind per encounter.","Extra Second Wind, Trained in Endurance",can catch more than one Second Wind per encounter,,,,,,"[second wind], [combat][defensive]"
C,31,Unstoppable Force,You gain a +5 insight bonus to Fortitude Defense and Will Defense against any attack or effect requiring a Use the Force check.,,+5 Fort Def & Will Def v. Use the Force,x,,,,x,"[fortitude defense], [Will Defense], [combat][defensive]"
J,24,Unswerving Resolve,"Whenever you are targeted by a fear effect or mind-affecting effect that fails to affect you (such as when the skill check required to use the effect fails to beat your Will defense), you gain a temporary Force Point. If this Force Point is not used before the end of your next turn, it goes away. If you negate the contingent effect in any way (such as by using rebuke to negate a mind-affecting Force power), you do not gain the benefit of this feat.",BAB +2,"if targeted by fear or mind-affecting effect that fails, gain FP to be spent before next turn as long as you did not negate",,,,,,"[Will Defense], [combat][defensive]"
R,36,Unwavering Focus,"Whenever you are targeted by a mind-affecting effect that requires a skill check against your Will Defense, as a reaction you can impose a -2 penalty to that skill check.",Zabrak,"when mind-affecting effect is against your Will Def, you impose -2",,,,,,"[species(zabrak)], [Will Defense], [combat][defensive]"
C,32,Unwavering Resolve,You gain a +5 insight bonus to Will Defense against Deception and Persuasion checks.,Trained in Perception,+5 Will Def v. Deception & Persuasion,x,x,,,,"[skill(perception)]), [Will Defense], [defensive]"
L,37,Vehicle Systems Expertise,"You may use the Recharge Shields or Reroute Power vehicle combat actions by spending two swift actions. Also, once per encounter, you may attempt to use either of these actions as a single swift action by making a DC 30 Mechanics check. Normal: Recharging shields or rerouting power normally requires you to spend three swift actions.","Tech Specialist, Trained in Mechanics","Recharge Shields/Reroute Power as 2swif, 1/encounter DC30 Mechanics 1 swif",,,x,x,,"[skill(mechanics], [tech specialist], [combat],  [vehicle][starship]"
