BOOK,PAGE,WEB,ITEM,Desc.,COMMENTS,TYPE,Cost,Weight,Uses, Use Cost
UR,42,w,Sonar mapper,"Sonar Mapper (UR)

Modern sensor systems are reliable and can be used in many circumstances. However, in some situations a standard sensor pack does not work. In those instances, a sonar mapper can be used instead. A sonar mapper is a special­ized sensor system that emits sonar pulses at regular intervals, mapping an area through echolocation. The sonar mapper does not provide the detail that a sensor pack can, because its dedicated screen displays only the echo- location. Also, the sonar mapper does not have as great a range as a sensor pack, because it reads the pulses only up to a range of 100 meters with any degree of accuracy. The sonar mapper can internally record up to 12 hours of readings, making a good backup map if the user becomes lost.
","100 m range, 12 hours of readings",Detection and Surveillance Devices,400,1,,
F,102,w,Sound sponge,"Sound Sponge 

This small electronic device emits sound waves in frequencies well above and below the normal range of audible sound for most species in the galaxy, using those sounds to suppress other sounds in the vicinity. A sound sponge muffles all sound in a 6-square radius, increasing the Perception check DC to hear noises coming from that area by 10.
",in 6sq area increases Perception check DC to hear noises by 10,Detection and Surveillance Devices,3500,1,,
CR,137,w,Space suit,"Space Suit

This bulky coverall contains a sealed life support system that provides everything the wearer needs to survive for 24 hours in the vacuum of space or any other hostile environment.

As long as you have life support remaining, you are immune to any atmosphere or inhaled poison hazard. The suit also grants a +2 equipment bonus to your Fortitude Defense.
","24 hours life support, +2 Fort Def",Life Support,2000,15,,
SV,52,w,Spacer's Chest,"Spacer's Chest (SaV)

A spacer's chest is a special container commonly kept by smugglers and pirates to store their most prized possessions. A spacer's chest usually car­ries not only valuables but also emergency items like spare clothes, credit sticks, data discs, small tools, concentrated food, and a hold-out blaster and blaster packs. A spacer's chest has enough consumables to feed one person for 10 days, and has an electronic locking mechanism that has a Will Defense of 30.
","electronic lock Will Def 30, consumable for 1 person for 10 days",Computers and Storage Devices,200,10,,
L,66,w,Spy bug,"Spy Bug (LECG)

This Diminutive, bioengineered insect records sights and sounds within 20 squares of it. It can be placed in a hidden area and remains there until retrieved. When the spy bug is retrieved, the data that is has absorbed through its senses for the past 24 hours can be extracted. (The Yuuzhan Vong use living devices to retrieve the data, but a DC 25 Mechanics check can transmit the data via electronic connectors or comlink.)

A spy bug functions as a holorecorder unit (see page 136 of the Saga Edition core rulebook). A spy bug registers as a life form on sensors, not as an electronic device.
","Diminutive, as holorecorder w/in 20sq for 24 hours, DC25 Mechanics to retrieve data",Biotech,1300,0.5,,
K,74,w,Stealth field generator,"Stealth Field Generator (KotORCG)

A small and unobtrusive device worn on the belt, the stealth field generator emits a sound-dampening field around the wearer that makes sneaking up on an opponent easier. Additionally, the stealth field generator uses technology similar to that of a personal energy shield to bend light around the wearer, making them harder to see. The stealth field generator grants concealment (but not total concealment) to the wearer when activated. Activating a stealth field generator is a swift action, and it lasts for the duration of the encounter, until the wearer takes damage or until the wearer attacks or uses a Force power, whichever comes first. A stealth field generator requires a power pack to operate. After 5 uses, the power pack must be replaced.
",grants concealment; swift to activate; lasts until wearer attacks or takes damage,Detection and Surveillance Devices,5000,0.2,,
J,64,w,Subelectronic converter,"Subelectronic Converter (JATM)

Designed by Imperial scientist Nasdra Magrody, the subelectronic converter is a computerized device that, when implanted into a subject's head, allows the subject to control droids through the Force. One such recipient of the implant, Irek Ismaren, could mentally visualize a droid's programming and use his mind trick power on them, which normally cannot be done.

A subelectronic converter translates the signals from the subject's brain into binary commands understood by droids; likewise, it converts droid signals into a language that the brain can understand.

A subelectronic converter is just like any other cybernetic enhancement, in that it must be installed by a character with the Cybernetic Surgery feat and imposes a penalty on Use the Force checks. A creature with a subelec­tronic converter may use mind-affecting Force powers on droids, despite the droids' immunity to mind-affecting effects. However, there's a trade-off: The recipient of the implant takes a -2 penalty to Will Defense due to side effects of the implant.
","control droids through the Force, cybernetic enhancement, -2 Will Def",Medical Gear,23000,,,
UR,42,w,Subsonic field emitter,"Subsonic Field Emitter (UR)

More of a convenience than a necessity for wilderness scouts, the subsonic field emitter generates a subsonic pulse attuned to the nervous systems of nonsentient insects and other vermin, discouraging them from entering the emitter's 6-meter broadcast radius and allowing beings within the radius to relax without being disturbed by natural pests. Tiny or smaller creatures with an Intelligence of 2 or less cannot willfully enter the radius of a sub­sonic emitter.
","6m radius, Tiny or smaller creatures Int 2 or less cannot enter",Survival Gear,120,0.2,,
CR,138,X,Surgery kit,"Surgery Kit

This small kit contains the instruments a character needs to perform surgery on a wounded character using the Treat Injury skill (see page 74). You must be trained in the Treat Injury skill to perform surgery using a surgery kit.
",needed to perform surgery using the Treat Injury skill,Medical Gear,1000,10,,
GI,67,w,Surveillance Detector,"Surveillance Detector (GoI)

A surveillance detector is a small, handheld device that scans an area for eavesdropping devices and surveillance taggers (see below). When activated, the surveillance detector grants a +10 equipment bonus to Perception checks for locating active or passive surveillance devices within 6 squares of the detector. It can be set to either display the presence of eavesdropping or to emit an alarm when such attempts are detected.
","+10 Perception to find listening devices, within 6 sq",Detection and Surveillance Devices,450,0.5,,
GI,67,w,Surveillance Tagger,"Surveillance Tagger (GoI)

The surveillance tagger is a tiny, unassuming tube containing a Fine sized dart and a compressed air canister. When fired, the dart attaches itself to the target with a combination of adhesives and magnetism and activates a homing beacon. The homing beacon has a range of 1 kilometer and enough power to transmit for 40 hours.

To use the surveillance tagger, the user must succeed on a ranged attack against a target within 6 squares of the user. The size of the dart imposes a -20 penalty to Perception checks to notice it. An activated signal tagger allows the user to track the movements of the dart with a DC 10 Use Computer check and a datapad or an appropriate sensor package.
","Ranged atk w/in 6sq for beacon w/1 km range & 40 hour battery, -20 to Perception to notice, Fine size, Use Comp DC10 to track",Detection and Surveillance Devices,450,0.5,,
CR,138,w,Syntherope (45 meters),"Syntherope

Although not as compact and convenient as a liquid cable dispenser, syntherope is stronger and more durable. A coil contains 45 meters (30 squares) of syntherope, and unlike liquid cable it is meant to be reused. Syntherope has Strength 30 and can safely support up to 720 kg, and it can be broken with a DC 25 Strength check.
","30sq, Str 30, can be broken with DC25 Str check",Survival Gear,20,2.5,,
GW,47,w,Targeting beacon,"Targeting Beacon (GaW)

Soldiers use targeting beacons for a variety of purposes, such as for calling in medical ships to evacuate wounded personnel and for establishing hot zones for artillery bombardments. The cylindrical beacon has a magnetic bottom for attachment to a vehicle or building, plus an expanding spike for firm anchoring in the ground. The targeting beacon is topped with a large light, which can emit a pulse of visible, infrared, or ultraviolet light. The light can be tuned to a specific frequency so that allies who know the proper setting can spot it from a distance without alerting the enemy.

Modifying the targeting beacon's frequency requires a DC 10 Mechanics check. In clear weather and with unimpeded line of sight, a targeting beacon's pulse of visible light can be seen up to 2 kilometers away.
","magnetic/advancing spike to hold beacon, DC 10 Mechanics to modify beacon, 2 km if clear",Communications Devices,300,0.1,,
CR,140,w,"Targeting scope, enhanced","Targeting Scope

A targeting scope is a sighting device that makes it easier to hit distant targets. However, it affords a very limited field of view, making it difficult to use. Installing a targeting scope on a rifle or pistol requires 10 minutes and a DC 10 Mechanics check.

Standard: A standard targeting scope reduces the range by one category (for example, from medium to short range). However, you must aim at your target to gain this benefit, and you lose the benefit if you change targets or lose line of sight to your target (see Aim, page 154).

Enhanced Low-Light: A low-light targeting scope functions the same as a standard targeting scope in normal light. However, after aiming at a target, it allows the wielder to ignore concealment (but not total concealment) from darkness when attacking that target.
","low-light ignores concealment, reduces range by one category, must aim",Weapon and Armor Accessories,1000,1.2,,
CR,140,w,"Targeting scope, standard","Targeting Scope

A targeting scope is a sighting device that makes it easier to hit distant targets. However, it affords a very limited field of view, making it difficult to use. Installing a targeting scope on a rifle or pistol requires 10 minutes and a DC 10 Mechanics check.

Standard: A standard targeting scope reduces the range by one category (for example, from medium to short range). However, you must aim at your target to gain this benefit, and you lose the benefit if you change targets or lose line of sight to your target (see Aim, page 154).

Enhanced Low-Light: A low-light targeting scope functions the same as a standard targeting scope in normal light. However, after aiming at a target, it allows the wielder to ignore concealment (but not total concealment) from darkness when attacking that target.
","reduces range by one category, must aim",Weapon and Armor Accessories,100,0.2,,
CR,130,X,Timer for Explosives,,"Fine, Licensed",Weapon and Armor Accessories,250,0.1,,
CR,139,X,Tool kit,"Tool Kit

You need a tool kit to reprogram a droid or to repair a damaged droid or vehicle. A tool kit also makes repairing devices much simpler.

The standard tool kit represents a broad collection of tools designed to take apart, analyze, modify, and rebuild almost any technological device.

Most technicians personalize their tool kits over the course of years, but almost all contain at least an electroshock probe (for shorting out electronic components or soldering wires), fusion cutter (for cutting apart durasteel and similar materials), hydrospanner (to tighten and loosen all forms of screws and fasteners), laser welder (for connecting things), power calibrator (both for analyzing circuitry and to act as an emergency power cell), power prybar (for forcing things open), probe sensors, sonic welder (for connecting things when you can't afford a fire), various circuits and connector wires, vibrocutters (for things that don't call for a fusion cutter), and welding goggles (so you don't burn out your eyes).

Many of these tools can be used as makeshift weapons. They all qualify as simple weapons, but since they aren't designed for combat, they impose a -5 penalty on attack rolls. (Droids with such tools on tool mounts don't suffer these penalties, since they don't have to deal with an oddly shaped handle.) Different tools deal different damage: electroshock probe, 1d8 ion; fusion cutter, 2d6 energy; laser welder, 1d8 energy; power prybar, 1d8 bludgeoning; sonic welder, 1d8 energy.
","Required to Repair Droid, Reprogram Droid, Modify Droid, Build Object, Booby Trap, Hot Shot, Environmental Adaptation",Tools,250,1,,
GI,67,w,Toxin Detector,"Toxin Detector (GoI)

Assassination by poison is one of the dangers faced by nobles, politicians and other notable figures. This tiny handheld device scans food and drink to determine if it is spoiled or contains poison. Using the device requires a standard action. It has a range of one square and contains data for up to 100 different species. The toxin detector can be set to blink a light (green for safe food and red for dangerous) or to vibrate slightly when a toxin is detected. For an additional 100 credits, the toxin detector can be disguised as a bracelet or other piece of jewelry for maximum discretion.
","for 100 species one square range, can be disguised as bracelet, etc for +100 credits",Medical Gear,700,0.5,,
UR,41,w,"Translator, personal","Translator, Personal (UR)

Drawing from the successes of many protocol droids, the designers at Cybot Galactica condense the translating abilities of a 3P0 unit into a tiny shell that can be worn around a person's neck or carried in a pocket. Thus, a person can carry a personal translator unit anywhere without having to rely on a protocol droid. The universal translator can translate verbal communications in the owner's language and up to three other languages of the owner's choosing. The device operates at the level of a DC 10 droid translator unit. The translator has no photoreceptors or appendages, so it is not able to interpret nonverbal forms of communication such as sign language.
",DC 10 droid translator unit,Communications Devices,2000,0.1,,
GW,47,X,Triangulation visor,"Triangulation Visor (GaW)

The triangulation visor provides a heads-up display to help wielders of heavy weapons to account for wind, gravity, distance, and other effects when targeting shots. The triangulation visor works only with weapons that fire solid rounds, such as slugthrowers, mortar launchers, missile launchers, and grenade launchers. It does not work with blasters, lasers, or other energy weapons. The triangulation visor reduces the range by one range category (for example, from long to medium range). A triangulation visor cannot be worn at the same time as a helmet or any other device worn on the head.
",reduces range category by 1 for weapons with solid rounds,Computers and Storage Devices,1400,0.5,,
GI,12,w,Ultraviolet visor (Defel),,Defel character begins play with this item at no cost,Detection and Surveillance Devices,2000,,,
CR,140,w,Utility belt,"Utility Belt

A utility belt has several pouches containing a three-day supply of food capsules, a medpac, a tool kit, a spare power pack, a spare energy cell, a glow rod, a comlink, a liquid cable dispenser with a small grappling hook, and a couple of empty pouches for whatever else the wearer wants to add (up to 0.5 kg per pouch).
","3 days food, medpac, tool kit, power pack, energy cell, glow rod, comlink, liquid cable",Tools,500,4,,
K,74,w,Vacuum mask,"Vacuum Mask (KotORCG)

Worn or carried by individuals who spend a great deal of time aboard star- ships and space stations, the vacuum mask is a short-term solution to a loss of atmosphere while aboard a spacecraft. The vacuum mask provides the wearer 10 minutes of breathable air, which automatically begins to flow when sensors on the mask detect a lack of breathable air. Though the vacuum mask is no replacement for a space suit, it has saved crews trapped in compartments aboard ships after the atmosphere has vented. A vacuum mask cannot be worn at the same time as armor with a helmet or any other device worn on the head.
",10 min breathable air,Life Support,650,0.3,,
GW,47,X,Vacuum survival pouch,"Vacuum Survival Pouch (GaW)

Carried by spacers of all types, the vacuum survival pouch is a small cylinder typically worn on a character's belt or harness. In the event of a catastrophic loss of pressure, the vacuum survival pouch automatically deploys, enveloping the user in a protective bubble that keeps him or her alive for a few hours. The Meredex Atmospherics EMS-90 bubble cloak, which is worn as an article of clothing, is one of several variations of this item.

The vacuum survival pouch is large enough to hold a single Medium crea­ture. It provides sufficient air, heat, and pressure for the creature to survive in hard vacuum for up to 2 hours, but it does not protect against radiation. The material has 2 hit points.
","survive vacuum 2 hours but not radiation, 2 hp material",Survival Gear,800,1,,
GI,67,w,Veridicator,"Veridicator (GoI)

Worn as an inconspicuous bracelet, the veridicator uses sophisticated sen­sors to monitor a target's heart rate, pupil dilation, perspiration, and other involuntary stress responses. It compares this information to its internal database, determining the emotional state of the target and indicating if he or she is lying. The veridicator then relays this information to the wearer as a series of pulses, temperature variations, or vibrations.

Once activated, the veridicator needs a full round to acquire the data from a single target within 6 squares of the user. Then the veridicator provides a +5 bonus to Perception checks for the purpose of sensing deception or influence or for gambling against other players in games such as sabacc. The veridicator can be programmed for only a single species at a time. Changing the settings requires a DC 10 Use Computer check.
","after one round, +5 bonus to Perception to sense Deception v. 1 species at a time",Detection and Surveillance Devices,4000,0.1,,
GI,67,R,Vid-Vox Scrambler,"Vid-Vox Scrambler (GoI)

When activated, this Tiny handheld device emits a low-frequency wave that scrambles all video, audio, and holographic recording within its area of effect, while leaving normal conversation unaffected. Vid-vox scramblers are prized by anyone worried that their conversations are being recorded, including criminal masterminds, CEOs, spies, and the paranoid.

The vid-vox scrambler prevents all video, audio, and holographic record­ing in the squares adjacent to and the square including the device. Anyone eavesdropping or reviewing recordings of targets protected by an interference generator must make a DC 30 Perception or Use Computer check to pick up only scattered words and phrases. A scrambler can operate continuously for one week on a single power cell, or it can be connected to a generator or other permanent power source.
","Scrambles all audio, video, holographic surveillance, DC 30 Use Computer/Perception ",Detection and Surveillance Devices,3400,0.5,,
C,66,w,Visual wrist comm,"Visual Wrist Comm (CWCG)

The visual wrist comm is popular with smugglers and soldiers. The comm is a small, flat, rectangular panel that easily attaches to a glove or other flat surface. The comm sends and receives audio and visual signals, and it can display holographic information, though only as a two-dimensional image. It has a range of up to 75 kilometers while planetside – sufficient to reach orbital range-and runs on a single energy cell, which must be replaced after 10 days of continuous use. In addition, the wrist comm functions as a simple datapad that stores and receives information from droids, comm signals, direct computer links, and standard data cards.
","75km, holographic 2D image",Communications Devices,1300,0.25,,
D5,25,w,Voice amplifier,,can be heard clearly from half a kilometer away,Communications Devices,,,,
CR,134,w,Vox-box,"Vox-Box

A vox-box is a simple audio playback unit with 12 preprogrammed phrases in Basic (""Yes."" ""No."" ""Maybe."" ""Greetings."" ""Go away."" ""How much?"" ""Please take me to someone with authority."" ""I understand."" ""I need assistance."" ""I can help you."" ""I mean no harm."" ""I am hungry.""), each with its own button.

These devices are useful to races that understand Basic but can't speak it (such as Gamorreans and Wookiees). Devices that speak these phrases in other languages also exist.

Altering one or more of a vox-box's preprogrammed phrases requires a DC 10 Use Computer check.
","12 preprogrammed phrases, DC10 to alter",Communications Devices,200,0.1,,
UR,42,w,Water extractor,"Water Extractor (UR)

For organic beings, water is a necessity of life. Some worlds have abundant water, but others lack this vital liquid. The water extractor can help beings who find themselves on a dry world. Working like a condensing canteen found in a field kit, the water extractor is a cone-shaped apparatus that attracts water vapor from the air, collecting it in specialized bins at the broad end of the cone. As the water accumulates, contaminants and toxins are filtered out, rendering the water potable. Although the amount of water collected varies depending on the moisture content of the atmosphere, field tests conducted on Tatooine yielded enough water in a period of 16 hours to sustain a humanoid for a full day.
",16 hours for water for a humanoid for 1 day,Survival Gear,400,3.2,,
L,140,w,"Xcalq portable computer ""Slicer Special""","Xcalq Stealth Pack

This stealth pack uses the Galactic Alliance Core Fleet's knowledge of their former computer systems to conceal a slicer's presence on a former or current Galactic Alliance computer or network.

Using a computer equipped with this software package, you can slice into a system without being traced, isolated, or cut off by the system's automatic safeguards. If another character attempts to locate, isolate, or cut off your computer, make opposed Use Computer checks. The stealth pack grants a +5 equipment bonus to your check.
","Int 14, opposing system auto friendly or helpful, +3 Use Computer after ",Computers and Storage Devices,7500,2,,
L,141,w,Xcalq stealth pack,"Xcalq-3GA ""Slicer Special"" Portable Computer

Among the array of tools available to the Galactic Alliance Core Fleet is this portable computer designed to quickly slice through the standard security in Galactic Alliance computer systems and networks. This is useful when the Galactic Alliance Core Fleet is forced to slice systems in former Galactic Alliance installations and ships. While the Empire has overlaid many systems with its own security, and has its own military systems, most of the former Galactic Alliance bureaucratic systems still exist under the surface.

Once inside, Galactic Alliance Core Fleet personnel quickly dissect it, as the systems are very similar or virtually identical to the systems they use every day on their own ships.

The Xcalq-3GA may be used as a regular portable computer and has Intelligence 14. However, when used to slice Galactic Alliance systems and networks, the opposing system is automatically treated as friendly or helpful, granting a +3 equipment bonus on all Use Computer checks made with that computer. This bonus does not apply to checks made to break through any initial Imperial security installed on the system.
",+5 Use Computer to conceal slicer's presence,Computers and Storage Devices,1500,,,
L,66,w,Yuuzhan Vong Biotech,,"Rare/Illegal, -5 to skill checks if unfamiliar device",Biotech,x4,,,
